T	p
K	MPa
83.806	0.068892
84.306	0.072954
84.806	0.077199
85.306	0.081633
85.806	0.086261
86.306	0.091088
86.806	0.096122
87.306	0.10137
87.806	0.10683
88.306	0.11251
88.806	0.11843
89.306	0.12457
89.806	0.13096
90.306	0.1376
90.806	0.14448
91.306	0.15163
91.806	0.15904
92.306	0.16672
92.806	0.17468
93.306	0.18293
93.806	0.19146
94.306	0.20029
94.806	0.20942
95.306	0.21886
95.806	0.22862
96.306	0.2387
96.806	0.2491
97.306	0.25985
97.806	0.27093
98.306	0.28236
98.806	0.29415
99.306	0.30629
99.806	0.31881
100.31	0.3317
100.81	0.34497
101.31	0.35863
101.81	0.37269
102.31	0.38714
102.81	0.40201
103.31	0.41729
103.81	0.43299
104.31	0.44912
104.81	0.46569
105.31	0.4827
105.81	0.50016
106.31	0.51808
106.81	0.53646
107.31	0.55531
107.81	0.57463
108.31	0.59445
108.81	0.61475
109.31	0.63555
109.81	0.65686
110.31	0.67868
110.81	0.70101
111.31	0.72388
111.81	0.74728
112.31	0.77122
112.81	0.7957
113.31	0.82075
113.81	0.84635
114.31	0.87252
114.81	0.89927
115.31	0.92661
115.81	0.95453
116.31	0.98306
116.81	1.0122
117.31	1.0419
117.81	1.0723
118.31	1.1033
118.81	1.1349
119.31	1.1672
119.81	1.2001
120.31	1.2337
120.81	1.2679
121.31	1.3028
121.81	1.3384
122.31	1.3747
122.81	1.4117
123.31	1.4493
123.81	1.4877
124.31	1.5268
124.81	1.5667
125.31	1.6072
125.81	1.6486
126.31	1.6906
126.81	1.7334
127.31	1.777
127.81	1.8214
128.31	1.8666
128.81	1.9125
129.31	1.9592
129.81	2.0068
130.31	2.0552
130.81	2.1044
131.31	2.1544
131.81	2.2053
132.31	2.257
132.81	2.3096
133.31	2.3631
133.81	2.4174
134.31	2.4727
134.81	2.5288
135.31	2.5859
135.81	2.6439
136.31	2.7028
136.81	2.7627
137.31	2.8235
137.81	2.8853
138.31	2.9481
138.81	3.0119
139.31	3.0766
139.81	3.1424
140.31	3.2092
140.81	3.2771
141.31	3.346
141.81	3.416
142.31	3.4871
142.81	3.5593
143.31	3.6326
143.81	3.7071
144.31	3.7827
144.81	3.8595
145.31	3.9375
145.81	4.0168
146.31	4.0973
146.81	4.179
147.31	4.2621
147.81	4.3466
148.31	4.4325
148.81	4.5198
149.31	4.6086
149.81	4.6991
150.31	4.7913
