Year	Author	T	Beta S
1967	Manzhelii	0	2.78E-04
		11	2.79E-04
		15	2.79E-04
		21.5	2.81E-04
		25	2.82E-04
		30	2.84E-04
		35	2.86E-04
		40	2.89E-04
		45	2.92E-04
		50	2.96E-04
		55	3.01E-04
		60	3.04E-04
		65	3.10E-04
		70	3.16E-04
		75	3.23E-04
		80	3.28E-04
		85	3.35E-04
		90	3.44E-04
		100	3.61E-04
		120	4.02E-04
		140	4.52E-04
1974	Shirane	10	2.75E-04
		111	3.36E-04
		156	4.42E-04
		159.6	4.76E-04
1970	Gornal	151	4.39E-04
		156	4.42E-04
1977	Rand	156	4.42E-04
		159.6	4.76E-04
1970	klein	0	2.75E-04
		20	2.84E-04
		40	3.06E-04
		80	3.77E-04
		120	4.78E-04
		160	5.86E-04
