Year	Author	T(K)	Beta T
1967	URVAS	20	2.63E-04
		56	3.13E-04
		77	3.55E-04
		111	4.76E-04
		142	5.56E-04
1967	Manzhelii	0	2.78E-04
		11	2.80E-04
		15	2.82E-04
		21.5	2.86E-04
		25	2.88E-04
		30	2.92E-04
		35	2.97E-04
		40	3.03E-04
		45	3.10E-04
		50	3.18E-04
		55	3.26E-04
		60	3.35E-04
		65	3.44E-04
		70	3.55E-04
		75	3.67E-04
		80	3.78E-04
		85	3.91E-04
		90	4.04E-04
		100	4.33E-04
		120	5.03E-04
		140	5.95E-04
1975	anderson	4	2.75E-04
		20	2.82E-04
		40	3.03E-04
		60	3.31E-04
		77	3.66E-04
		80	3.69E-04
		100	4.07E-04
		120	4.44E-04
		140	5.21E-04
		159	6.76E-04
1974	korpiun	4	2.64E-04
		65.5	3.38E-04
		77	3.55E-04
1990	Herbert	159	6.76E-04
		161.36	6.81E-04
1963	PACKARD	0	2.78E-04
		20	2.86E-04
		50	3.13E-04
		75	3.70E-04
		100	4.35E-04
		125	5.26E-04
		150	6.67E-04

