Unnamed: 0	 Reference	 Year  	 Author   	 Temperature	 Beta T  	 Unnamed: 6	 Density	 Pressure          	 Unnamed: 9	 Unnamed: 10	 Reference.1	 Year.1	 Author.1	 Temperature.1	 Beta S  	 1011 x Beta S	 Unnamed: 17
          	          	 1967.0	 Urvas    	            	 0.000298	           	        	 3355.704697986577 	           	            	            	 1961.0	 Beaumont	           0.0	         	              	 
          	          	 1967.0	 Urvas    	            	 0.000329	           	        	 3039.51367781155  	           	            	            	 1961.0	 Beaumont	           5.0	         	              	 
          	          	 1967.0	 Urvas    	       10.0 	 0.000333	           	        	 3003.003003003003 	           	            	            	 1961.0	 Beaumont	          10.0	 0.000388	              	 
          	          	 1967.0	 Urvas    	       31.0 	 0.000362	           	        	 2762.430939226519 	           	            	            	 1961.0	 Beaumont	          15.0	 0.000389	              	 
          	          	 1967.0	 Urvas    	       39.0 	 0.000384	           	        	 2604.1666666666665	           	            	            	 1961.0	 Beaumont	          20.0	 0.000391	              	 
          	          	 1967.0	 Urvas    	       46.0 	 0.000454	           	        	 2202.643171806168 	           	            	            	 1961.0	 Beaumont	          25.0	 0.000395	              	 
          	          	 1967.0	 Urvas    	       53.0 	 0.000481	           	        	 2079.002079002079 	           	            	            	 1961.0	 Beaumont	          30.0	 0.0004  	              	 
          	          	 1967.0	 Urvas    	       66.0 	 0.000598	           	        	 1672.2408026755852	           	            	            	 1961.0	 Beaumont	          40.0	 0.000406	              	 
          	          	 1967.0	 Urvas    	       77.0 	 0.000625	           	        	 1600.0            	           	            	            	 1961.0	 Beaumont	          50.0	 0.00041 	              	 
          	          	 1975.0	 Anderson 	       89.0 	 0.000299	           	        	 3344.4816053511704	           	            	            	 1975.0	 Landheer	          10.0	 0.000438	              	 
          	          	 1975.0	 Anderson 	      101.0 	 0.000313	           	        	 3194.8881789137376	           	            	            	 1975.0	 Landheer	          77.0	 0.000456	              	 
          	          	 1975.0	 Anderson 	        4.0 	 0.000355	           	        	 2816.9014084507044	           	            	            	 1975.0	 Landheer	         114.0	 0.000277	              	 
          	          	 1975.0	 Anderson 	       20.0 	 0.000402	           	        	 2487.5621890547263	           	            	            	 1975.0	 Landheer	         115.6	 0.000303	              	 
