Year	Author	Temperature	Beta S
1961	Beaumont	0	0.000388
1961	Beaumont	5	0.000389
1961	Beaumont	10	0.000391
1961	Beaumont	15	0.000395
1961	Beaumont	20	0.0004
1961	Beaumont	25	0.000406
1961	Beaumont	30	0.00041
1961	Beaumont	40	0.000438
1961	Beaumont	50	0.000456
1975	Landheer	10	0.000277
1975	Landheer	77	0.000303
1975	Landheer	114	0.000457
1975	Landheer	115.6	0.000491
1974	Skalyo	10	0.000279
1974	Skalyo	77	0.000308
1974	Skalyo	115	0.000462
1977	Rand	115.6	0.000491
1977	Rand	114	0.000455
1973	Petert	77	0.00031
