Year	Author	Temperature	Beta T	Pressure
1967	Urvas	10	0.000298	3355.704698
1967	Urvas	31	0.000329	3039.513678
1967	Urvas	39	0.000333	3003.003003
1967	Urvas	46	0.000362	2762.430939
1967	Urvas	53	0.000384	2604.166667
1967	Urvas	66	0.000454	2202.643172
1967	Urvas	77	0.000481	2079.002079
1967	Urvas	89	0.000598	1672.240803
1967	Urvas	101	0.000625	1600
1975	Anderson	4	0.000299	3344.481605
1975	Anderson	20	0.000313	3194.888179
1975	Anderson	40	0.000355	2816.901408
1975	Anderson	60	0.000402	2487.562189
1975	Anderson	77	0.000461	2169.197397
1975	Anderson	90	0.000521	1919.385797
1975	Anderson	100	0.000578	1730.103806
1975	Anderson	110	0.000633	1579.778831
1978	Macrander	81.69	0.00049	2040.816327
1978	Macrander	86.38	0.000511	1956.947162
1978	Macrander	90.9	0.000531	1883.239171
1978	Macrander	95.24	0.000554	1805.054152
1978	Macrander	99.4	0.00058	1724.137931
1978	Macrander	103.37	0.000611	1636.661211
1978	Macrander	107.12	0.000648	1543.209877
1978	Macrander	110.66	0.00069	1449.275362
1978	Macrander	113.99	0.000737	1356.852103
1971	Korpiun	5	0.000293	3412.969283
1971	Korpiun	10	0.000294	3401.360544
1971	Korpiun	15	0.000295	3389.830508
1971	Korpiun	20	0.000296	3378.378378
1971	Korpiun	25	0.000299	3344.481605
1971	Korpiun	30	0.000304	3289.473684
1971	Korpiun	35	0.000312	3205.128205
1971	Korpiun	40	0.000324	3086.419753
1971	Korpiun	45	0.000339	2949.852507
1971	Korpiun	50	0.000356	2808.988764
1971	Korpiun	55	0.000374	2673.796791
1971	Korpiun	60	0.000394	2538.071066
1971	Korpiun	65	0.000415	2409.638554
1971	Korpiun	70	0.000438	2283.105023
1971	Korpiun	75	0.000466	2145.922747
1971	Korpiun	80	0.000493	2028.397566
1971	Korpiun	85	0.000521	1919.385797
1971	Korpiun	90	0.000561	1782.531194
1971	Korpiun	95	0.000604	1655.629139
1971	Korpiun	100	0.00066	1515.151515
1971	Korpiun	105	0.000723	1383.125864
1971	Korpiun	110	0.000789	1267.427123
1971	Korpiun	115	0.000883	1132.502831
1968	Losee	4	0.00029	3448.275862
1968	Losee	6	0.00029	3448.275862
1968	Losee	8	0.00029	3448.275862
1968	Losee	10	0.00029	3448.275862
1968	Losee	15	0.00029	3448.275862
1968	Losee	20	0.00029	3448.275862
1968	Losee	25	0.0003	3333.333333
1968	Losee	30	0.00031	3225.806452
1968	Losee	35	0.00031	3225.806452
1968	Losee	40	0.00033	3030.30303
1968	Losee	45	0.00034	2941.176471
1968	Losee	50	0.00035	2857.142857
1968	Losee	55	0.00037	2702.702703
1968	Losee	60	0.00039	2564.102564
1968	Losee	65	0.00041	2439.02439
1968	Losee	70	0.00043	2325.581395
1968	Losee	75	0.00046	2173.913043
1968	Losee	80	0.00048	2083.333333
1968	Losee	85	0.00051	1960.784314
1968	Losee	90	0.00054	1851.851852
1968	Losee	95	0.00057	1754.385965
1968	Losee	100	0.00061	1639.344262
1968	Losee	105	0.00065	1538.461538
1968	Losee	110	0.0007	1428.571429
1968	Losee	115	0.00075	1333.333333
