Year	Author	Temperature	Cell Volume
1930.0	Keeson	20.0	26.298218821387195
1930.0	Natta	78.0	29.07196762444249
1932.0	Simon	82.0	27.588997395870205
1932.0	Simon	89.0	27.73497062516167
1932.0	Simon	92.0	27.73497062516167
1957.0	Cheesman	58.0	28.02845995620731
1957.0	Cheesman	68.0	28.38337119416031
1940.0	Clusius	115.95	29.65
1960.0	Figgins	20.0	27.22482131254061
1960.0	Figgins	40.0	27.56513157894737
1960.0	Figgins	60.0	28.04484605087015
1960.0	Figgins	80.0	28.6390977443609
1960.0	Figgins	90.0	28.96577946768061
1961.0	Beaumont	5.0	27.09279017135467
1961.0	Beaumont	10.0	27.10155239327296
1961.0	Beaumont	15.0	27.13665803108808
1961.0	Beaumont	20.0	27.19831223628692
1961.0	Beaumont	25.0	27.269118125610152
1961.0	Beaumont	30.0	27.358145608880186
1961.0	Beaumont	40.0	27.55606708319632
1961.0	Beaumont	50.0	27.79369817578773
1965.0	Curzon	7.0	27.08212572064819
1968.0	Losee	4.0	27.097
1968.0	Losee	6.0	27.099
1968.0	Losee	8.0	27.103
1968.0	Losee	10.0	27.112
1968.0	Losee	15.0	27.145
1968.0	Losee	20.0	27.202
1968.0	Losee	25.0	27.273
1968.0	Losee	30.0	27.357
1968.0	Losee	35.0	27.452
1968.0	Losee	40.0	27.552
1968.0	Losee	45.0	27.659
1968.0	Losee	50.0	27.771
1968.0	Losee	55.0	27.888
1968.0	Losee	60.0	28.012
1968.0	Losee	65.0	28.142
1968.0	Losee	70.0	28.279
1968.0	Losee	75.0	28.421
1968.0	Losee	80.0	28.571
1968.0	Losee	85.0	28.727
1968.0	Losee	90.0	28.893
1968.0	Losee	95.0	29.067
1968.0	Losee	100.0	29.246
1968.0	Losee	105.0	29.441
1968.0	Losee	110.0	29.654
1968.0	Losee	115.0	29.884
1968.0	Losee	115.78	29.923
1980.0	Macrander	95.0	29.063
1980.0	Macrander	100.0	29.244
1980.0	Macrander	105.0	29.439
1980.0	Macrander	110.0	29.651
1980.0	Macrander	115.0	29.881
1991.0	Peek	114.7	29.7
1971.0	Korpiun	85.0	28.72745971888927
1971.0	Korpiun	90.0	28.89586206896552
1971.0	Korpiun	95.0	29.076335877862597
1971.0	Korpiun	100.0	29.259078212290504
1971.0	Korpiun	105.0	29.464838255977497
1971.0	Korpiun	110.0	29.70506912442396
1971.0	Korpiun	115.0	29.959957096889525
2003.0	Herrero	109.88	29.75628434948285
2003.0	Herrero	99.775	29.344420954173533
2003.0	Herrero	89.663	28.98152603413675
2003.0	Herrero	79.551	28.66645786013683
2003.0	Herrero	69.438	28.36852374658296
2003.0	Herrero	59.326	28.08740517341716
2003.0	Herrero	49.213	27.808149929492533
2003.0	Herrero	39.775	27.588997395870205
2003.0	Herrero	29.663	27.37099930663157
2003.0	Herrero	19.551	27.19742998646463
2003.0	Herrero	9.438	27.12532655113036
2003.0	Herrero	4.719	27.096520897023467
2003.0	Herrero	1.348	27.096520897023467
1998.0	Jephcoat	4.0	27.094
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
