Year	Author	Temperature	Heat Capacity
1969.0	Finegold	4.6496	0.6887000000000001
1969.0	Finegold	5.111	0.9425
1969.0	Finegold	5.599	1.263
1969.0	Finegold	5.9839	1.552
1969.0	Finegold	6.2566	1.775
1969.0	Finegold	6.5436	2.017
1969.0	Finegold	6.893	2.361
1969.0	Finegold	7.2669	2.726
1969.0	Finegold	7.6586	3.143
1969.0	Finegold	8.1047	3.648
1969.0	Finegold	8.6887	4.334
1969.0	Finegold	9.3577	5.105
1969.0	Finegold	10.1437	6.088
1969.0	Finegold	12.279	8.738
1969.0	Finegold	11.0851	7.27
1969.0	Finegold	1.2404	0.01011
1969.0	Finegold	1.3379	0.01267
1969.0	Finegold	1.4466	0.01614
1969.0	Finegold	1.545	0.019690000000000003
1969.0	Finegold	1.6552	0.024390000000000002
1969.0	Finegold	1.7768	0.03039
1969.0	Finegold	1.8961	0.036789999999999996
1969.0	Finegold	2.0212	0.04513
1969.0	Finegold	2.1616	0.055420000000000004
1969.0	Finegold	2.3144	0.06884
1969.0	Finegold	2.492	0.08653
1969.0	Finegold	2.7118	0.1135
1969.0	Finegold	2.9379	0.14709999999999998
1969.0	Finegold	3.1875	0.19319999999999998
1969.0	Finegold	3.4782	0.2585
1969.0	Finegold	3.804	0.3485
1969.0	Finegold	4.1726	0.4793
1969.0	Finegold	4.5926	0.6583
1969.0	Finegold	5.0652	0.913
1969.0	Finegold	0.3684	0.000254
1969.0	Finegold	0.4114	0.0003683
1969.0	Finegold	0.4581	0.0005175
1969.0	Finegold	0.4994	0.0006347000000000001
1969.0	Finegold	0.5452	0.0008265
1969.0	Finegold	0.5959	0.0011
1969.0	Finegold	0.6566	0.00148
1969.0	Finegold	0.7106	0.001883
1969.0	Finegold	0.7716	0.0024140000000000003
1969.0	Finegold	0.848	0.003219
1969.0	Finegold	0.9368	0.004325
1969.0	Finegold	1.0076	0.005412
1969.0	Finegold	1.1048	0.007091
1969.0	Finegold	1.1996	0.00914
1969.0	Finegold	1.2906	0.01131
1969.0	Finegold	1.4011	0.01458
1969.0	Finegold	1.5133	0.0184
1969.0	Finegold	1.6322	0.023329999999999997
1969.0	Finegold	0.5089	0.0006795999999999999
1969.0	Finegold	0.5602	0.0009173
1969.0	Finegold	0.6133	0.001206
1969.0	Finegold	0.6721	0.0015760000000000001
1969.0	Finegold	0.36	0.00023899999999999998
1969.0	Finegold	0.3872	0.000297
1969.0	Finegold	0.4198	0.0003826
1969.0	Finegold	0.4817	0.0005904
1969.0	Finegold	0.5269	0.0007796
1969.0	Finegold	0.5803	0.001047
1969.0	Finegold	0.6417	0.001416
1969.0	Finegold	0.691	0.0017569999999999999
1969.0	Finegold	0.7565	0.0022949999999999997
1969.0	Finegold	0.835	0.003115
1969.0	Finegold	0.9155	0.004046999999999999
1969.0	Finegold	1.0066	0.005441
1969.0	Finegold	1.1086	0.00724
1969.0	Finegold	1.2068	0.009316000000000001
1969.0	Finegold	1.3168	0.01209
