Year	Author	Temperature	Change in Enthalpy	Pressure
1978.0	Chen	102.0	10.993	0.01652362709534567
1978.0	Chen	102.5	10.988	0.017600809672134857
1978.0	Chen	103.0	10.982	0.018734229726798536
1978.0	Chen	103.5	10.976	0.01992592416279797
1978.0	Chen	104.0	10.97	0.021177949838525792
1978.0	Chen	104.5	10.963	0.02249237977142415
1978.0	Chen	105.0	10.957	0.02387129889835361
1978.0	Chen	105.5	10.95	0.0253167993322064
1978.0	Chen	106.0	10.943	0.026830975041024253
1978.0	Chen	106.5	10.936	0.02841591585795071
1978.0	Chen	107.0	10.928	0.030073700706635616
1978.0	Chen	107.5	10.92	0.0318063898949033
1978.0	Chen	108.0	10.913	0.03361601628616613
1978.0	Chen	108.5	10.905	0.03550457509799219
1978.0	Chen	109.0	10.896	0.0374740119923147
1978.0	Chen	109.5	10.888	0.03952620899905449
1978.0	Chen	110.0	10.879	0.04166296763312139
1978.0	Chen	110.5	10.87	0.0438859882876431
1978.0	Chen	111.0	10.86	0.04619684454976467
1978.0	Chen	111.5	10.85	0.0485969503709365
1978.0	Chen	112.0	10.84	0.05108751680005893
1978.0	Chen	112.5	10.83	0.0536694927747809
1978.0	Chen	113.0	10.819	0.05634348018548172
1978.0	Chen	113.5	10.808	0.059109604412593386
1978.0	Chen	114.0	10.797	0.06196730031924799
1978.0	Chen	114.5	10.785	0.06491491536770391
1978.0	Chen	115.0	10.773	0.06794882863176609
1978.0	Chen	115.5	10.761	0.07106068938850543
