Melting								Sublimation					
Temperature (K)	Pressure (Mpa)	ThermoFast (kJ/mol)	Refprop(J/mol)	XIONG Hfluid (j/mol)	Difference			Temperature (K)	Pressure (Mpa)	ThermoFast (kJ/mol)	ThermoFast (J/mol)	XIONG Hfluid (j/mol)	Difference
116.1	1.120827301		-135.48	2827.523144	2963.003144			102	0.016523627			2306.822211	2306.822211
165	184.4463463			9031.674277	9031.674277			102.5	0.01760081			2323.58651	2323.58651
209	376.8257663		12463	15123.1313	2660.131296			103	0.01873423			2340.402229	2340.402229
252	587.6055137			21455.66027	21455.66027			103.5	0.019925924			2357.270027	2357.270027
293	808.307465			27794.4088	27794.4088			104	0.02117795			2374.190581	2374.190581
332	1035.350251			34065.23472	34065.23472			104.5	0.02249238			2391.164589	2391.164589
370	1272.08289			40379.31905	40379.31905			105	0.023871299			2408.192767	2408.192767
116	0.774470814		-147.45	2815.375566	2962.825566			105.5	0.025316799			2425.27585	2425.27585
161.404	169.8267463			8553.501556	8553.501556			106	0.026830975			2442.414595	2442.414595
115.763	0.072720553		8911.5	2789.497927	6122.002073			106.5	0.028415916			2459.609779	2459.609779
								107	0.030073701			2476.862203	2476.862203
								107.5	0.03180639			2494.172687	2494.172687
								108	0.033616016			2511.542077	2511.542077
								108.5	0.035504575			2528.971241	2528.971241
								109	0.037474012			2546.461072	2546.461072
								109.5	0.039526209			2564.01249	2564.01249
								110	0.041662968			2581.626439	2581.626439
								110.5	0.043885988			2599.303891	2599.303891
								111	0.046196845			2617.045844	2617.045844
								111.5	0.04859695			2634.853325	2634.853325
								112	0.051087517			2652.727389	2652.727389
								112.5	0.053669493			2670.66912	2670.66912
								113	0.05634348			2688.679629	2688.679629
								113.5	0.059109604			2706.760056	2706.760056
								114	0.0619673			2724.91156	2724.91156
								114.5	0.064914915			2743.13532	2743.13532
								115	0.067948829			2761.432509	2761.432509
								115.5	0.071060689		8907.4	2779.804232	6127.595768
													
													
