Year	Author	Temperature	Pressure
1962.0	Michels	115.893	557287.5
1962.0	Michels	116.352	2099454.0
1962.0	Michels	116.69	4155338.25
1962.0	Michels	118.198	8264067.0
1962.0	Michels	119.069	11198439.0
1962.0	Michels	120.088	14646528.750000002
1962.0	Michels	123.479	26269519.5
1962.0	Michels	127.739	41128830.75
1962.0	Michels	133.161	60530541.75
1962.0	Michels	138.598	80461169.25
1962.0	Michels	143.739	99751422.75
1962.0	Michels	147.566	114414163.5
1962.0	Michels	150.765	126817356.74999999
1962.0	Michels	153.911	139212444.0
1962.0	Michels	157.033	151607531.25
1960.0	Stryland	120.3	18643800.0
1960.0	Stryland	122.7	27459075.0
1960.0	Stryland	125.9	37388925.0
1960.0	Stryland	129.4	49142625.0
1960.0	Stryland	133.0	61605600.0
1960.0	Stryland	135.3	71130150.0
1960.0	Stryland	142.6	98285250.0
1960.0	Stryland	150.7	129189375.0
1960.0	Stryland	156.9	154014000.0
1960.0	Stryland	159.3	163335900.0
1960.0	Stryland	164.8	185526075.0
1960.0	Stryland	170.6	208729500.0
1960.0	Stryland	173.3	221091150.0
1960.0	Stryland	178.7	243686625.0
1960.0	Stryland	185.5	272766900.0
1960.0	Stryland	192.6	302049825.0
1971.0	Crawford	138.27	78825000.0
1971.0	Crawford	138.284	78887000.0
1971.0	Crawford	138.286	78879000.0
1971.0	Crawford	152.379	132495000.0
1971.0	Crawford	165.79	186360000.0
1971.0	Crawford	165.79	186318000.0
1971.0	Crawford	178.297	238823999.99999997
1971.0	Crawford	178.303	238812000.0
1971.0	Crawford	190.43	291730000.0
1971.0	Crawford	190.431	291724000.0
1971.0	Crawford	202.696	347170000.0
1971.0	Crawford	215.873	408730000.0
1971.0	Crawford	215.874	408742000.0
1971.0	Crawford	228.296	468722999.99999994
1971.0	Crawford	228.302	468763000.0
1971.0	Crawford	240.685	530293000.0
1971.0	Crawford	253.143	593951000.0
1971.0	Crawford	253.15	593979000.0
1971.0	Crawford	265.674	659443000.0
1971.0	Crawford	279.16	731888000.0
1971.0	Crawford	279.161	731900000.0
1971.0	Crawford	291.695	800852000.0
1971.0	Crawford	291.695	800851000.0
1962.0	Lahr	169.0	218862000.0
1962.0	Lahr	237.0	518784000.0
1962.0	Lahr	255.0	603897000.0
1962.0	Lahr	280.0	730553250.0
1962.0	Lahr	293.0	829851749.9999999
1962.0	Lahr	327.0	977786250.0
1962.0	Lahr	362.0	1177396500.0
1940.0	Clusius	119.34	10993762.5
1940.0	Clusius	118.97	9717067.5
1940.0	Clusius	118.95	9696802.5
1940.0	Clusius	118.66	8764612.5
1940.0	Clusius	118.36	7791892.500000001
1940.0	Clusius	118.06	6809040.0
1940.0	Clusius	117.74	5927512.5
1940.0	Clusius	117.45	4843335.0
1940.0	Clusius	117.12	3779422.4999999995
1940.0	Clusius	116.81	2847232.5
1940.0	Clusius	116.49	1894777.5
1940.0	Clusius	116.19	871395.0
1940.0	Clusius	115.95	72954.0
1940.0	Crawford	115.763	70000.0
1977.0	Crawford	120.0	14190000.0
1977.0	Crawford	130.0	48860000.0
1977.0	Crawford	140.0	85250000.0
1977.0	Crawford	160.0	162760000.0
1977.0	Crawford	180.0	246110000.0
1977.0	Crawford	200.0	334820000.0
1977.0	Crawford	220.0	428500000.0
1977.0	Crawford	260.0	629580000.0
1977.0	Crawford	300.0	847360000.0
