Year	Author	Temperature	Pressure	Molar Density	Enthalpy	Entropy	Gibbs Energy	Volume
1962.	Michels	115.893	557287.5	323932.98672630684	2.0959333875282104e6	-490.2298322331425	2.152747593475206e6	3.087058252714802e-6
1962.	Michels	116.352	2.099454e6	423810.25593009545	6.084231925359785e6	-1066.5819027115574	6.208330862904079e6	2.359546485738993e-6
1962.	Michels	116.69	4.15533825e6	486737.73990050715	1.0517924085596437e7	-1590.9552071356861	1.07035726487171e7	2.0544944803425506e-6
1962.	Michels	118.198	8.264067e6	559463.1342285485	1.8244174279210404e7	-2369.2091223670245	1.852421005905594e7	1.7874278729355669e-6
1962.	Michels	119.069	1.1198439e7	594954.6180308918	2.326926628093208e7	-2823.735609095474	2.3605485656171467e7	1.6808004672855185e-6
1962.	Michels	120.088	1.4646528750000002e7	628156.5581792381	2.8847134081798844e7	-3294.3822858177527	2.9242749861738127e7	1.5919598179450355e-6
1962.	Michels	123.479	2.62695195e7	706876.3520189342	4.604257734694122e7	-4588.075289464361	4.660910829560899e7	1.4146745709399743e-6
1962.	Michels	127.739	4.112883075e7	773806.2613514798	6.591074880478892e7	-5880.543358501455	6.666192353286053e7	1.292313140828642e-6
1962.	Michels	133.161	6.053054175e7	836472.6901731997	8.979474309294324e7	-7239.572937119266	9.075877186482298e7	1.1954962926439838e-6
1962.	Michels	138.598	8.046116925e7	885786.3972154973	1.127632141726016e8	-8398.500704410715	1.1392722957323152e8	1.1289403440192098e-6
1962.	Michels	143.739	9.975142275e7	924896.2920834244	1.3392391352386175e8	-9366.066527385537	1.352701825604416e8	1.0812023018790537e-6
1962.	Michels	147.566	1.144141635e8	950732.5593264513	1.4945986904354885e8	-10025.904460655485	1.5093935166118994e8	1.051820504294554e-6
1962.	Michels	150.765	1.2681735674999999e8	970583.8933527339	1.622925954714729e8	-10542.391264085123	1.638820190904027e8	1.0303076394000858e-6
1962.	Michels	153.911	1.39212444e8	988920.0644416232	1.7486897491847968e8	-11026.625401287389	1.7656609386061722e8	1.0112040759984306e-6
1962.	Michels	157.033	1.5160753125e8	1.0059866711775272e6	1.8722398041999847e8	-11482.152541167769	1.8902705727999565e8	9.94048955767456e-7
1960.	Stryland	120.3	1.86438e7	659614.4010300635	3.4991155600349426e7	-3796.8398224432203	3.544791543098935e7	1.516037246061313e-6
1960.	Stryland	122.7	2.7459075e7	713284.309971889	4.770077239095065e7	-4726.289517889116	4.828068811479565e7	1.4019655080306066e-6
1960.	Stryland	125.9	3.7388925e7	759109.7999522553	6.1067351105433665e7	-5599.649673656448	6.1772346999347016e7	1.3173324861079327e-6
1960.	Stryland	129.4	4.9142625e7	802109.7504064521	7.599914031639864e7	-6492.6659879225535	7.68392912952358e7	1.2467121855746938e-6
1960.	Stryland	133.	6.16056e7	839465.9643006662	9.106689100514983e7	-7320.582447594832	9.204052847067994e7	1.1912335252723078e-6
1960.	Stryland	135.3	7.113015e7	864127.8508189672	1.0216811324266419e8	-7903.292499240822	1.0323742871781145e8	1.1572361648247554e-6
1960.	Stryland	142.6	9.828525e7	922184.3800037744	1.3234258339117306e8	-9322.598992831014	1.3367198600755076e8	1.0843818456303793e-6
1960.	Stryland	150.7	1.29189375e8	974232.3682536512	1.647138508495016e8	-10662.205783030658	1.6632064526100436e8	1.0264491640660002e-6
1960.	Stryland	156.9	1.54014e8	1.0092027583358146e6	1.8959444131984285e8	-11595.955191102132	1.9141384668932676e8	9.90881160143686e-7
1960.	Stryland	159.3	1.633359e8	1.021161132029241e6	1.9872605441013268e8	-11915.759651849468	2.006242349226723e8	9.792773820257047e-7
1960.	Stryland	164.8	1.85526075e8	1.0475663724175359e6	2.2005924709706104e8	-12633.385733871935	2.2214122906600314e8	9.545934523387155e-7
1960.	Stryland	170.6	2.087295e8	1.07257939908716e6	2.4183053640707386e8	-13314.286993777638	2.441019537682123e8	9.323319102073655e-7
1960.	Stryland	173.3	2.2109115e8	1.0850176549424622e6	2.5322793828112644e8	-13668.680053156917	2.5559672053433853e8	9.216439893349287e-7
1960.	Stryland	178.7	2.43686625e8	1.1063525559104688e6	2.737442589786565e8	-14259.363742924948	2.762924072795172e8	9.038710080775776e-7
1960.	Stryland	185.5	2.727669e8	1.1315828883355588e6	2.996014164505911e8	-14962.40895033367	3.02376943310878e8	8.837178524950093e-7
1960.	Stryland	192.6	3.02049825e8	1.1548722991624335e6	3.2509281894623876e8	-15598.188145589345	3.280970299830793e8	8.658966023561618e-7
1971.	Crawford	138.27	7.8825e7	882127.9641842507	1.1092498337095661e8	-8306.607146551876	1.1207353794111036e8	1.1336223774798384e-6
1971.	Crawford	138.284	7.8887e7	882267.6236694898	1.1099478511120431e8	-8310.058793554115	1.1214393328141214e8	1.1334429295283927e-6
1971.	Crawford	138.286	7.8879e7	882249.4219062391	1.1098579574768668e8	-8309.492763591566	1.121348822639927e8	1.1334663136863746e-6
1971.	Crawford	152.379	1.32495e8	979146.0140656539	1.680832724230242e8	-10761.703513252043	1.6972313004267e8	1.0212981369834263e-6
1971.	Crawford	165.79	1.8636e8	1.048472993379043e6	2.2085589109141755e8	-12627.764620123122	2.2294944818778777e8	9.537680095861857e-7
1971.	Crawford	165.79	1.86318e8	1.0484251867592959e6	2.2081611438161027e8	-12626.06089943831	2.2290938901812816e8	9.538114999802903e-7
1971.	Crawford	178.297	2.3882399999999997e8	1.1018676004139194e6	2.693677644149122e8	-14104.740927603287	2.718825974080811e8	9.075500537672107e-7
1971.	Crawford	178.303	2.38812e8	1.1018561415914786e6	2.6935699359774274e8	-14104.068801389027	2.7187179137723684e8	9.075594918912359e-7
1971.	Crawford	190.43	2.9173e8	1.1468676509935625e6	3.161703017844677e8	-15366.604287006949	3.190965642388424e8	8.719401921692297e-7
1971.	Crawford	190.431	2.91724e8	1.1468628370764207e6	3.161651142275618e8	-15366.372731521418	3.190913479531981e8	8.719438521080664e-7
1971.	Crawford	202.696	3.4717e8	1.1874492991835705e6	3.6343060791515696e8	-16512.859017566603	3.6677769838658166e8	8.42141218734601e-7
1971.	Crawford	215.873	4.0873e8	1.2267973166634378e6	4.1418104868962526e8	-17627.48244548566	4.179863462075796e8	8.151305732553555e-7
1971.	Crawford	215.874	4.08742e8	1.2268045662104369e6	4.1419077226441616e8	-17627.750950824113	4.179961453731743e8	8.151257564103878e-7
1971.	Crawford	228.296	4.6872299999999994e8	1.260791001569633e6	4.621916818034979e8	-18592.014788637603	4.664361644116847e8	7.931528689172441e-7
1971.	Crawford	228.302	4.68763e8	1.2608125484447852e6	4.622232477696805e8	-18592.71508725796	4.664680018095317e8	7.931393141934556e-7
1971.	Crawford	240.685	5.30293e8	1.2922116160071918e6	5.1020881155844706e8	-19483.082022872553	5.1489809715512216e8	7.738670567672985e-7
1971.	Crawford	253.143	5.93951e8	1.3217478193004502e6	5.587021154872322e8	-20319.996479800502	5.638459803561184e8	7.565739737927173e-7
1971.	Crawford	253.15	5.93979e8	1.3217601802750584e6	5.587232271983125e8	-20320.28193161962	5.63867306569302e8	7.565668983853788e-7
1971.	Crawford	265.674	6.59443e8	1.349583493904782e6	6.075261561762806e8	-21105.801161965017	6.131334187941844e8	7.40969346851358e-7
1971.	Crawford	279.16	7.31888e8	1.3778932305893626e6	6.60425200796747e8	-21904.460369372937	6.665400499534612e8	7.257456367444904e-7
1971.	Crawford	279.161	7.319e8	1.377897770437776e6	6.604338606802444e8	-21904.636074015823	6.665487807913027e8	7.257432455836597e-7
1971.	Crawford	291.695	8.00852e8	1.4028184160067183e6	7.098226322008911e8	-22606.060057438037	7.164167068893454e8	7.128506359694175e-7
1971.	Crawford	291.695	8.00851e8	1.4028180613186653e6	7.09821924310742e8	-22606.043051396915	7.164159940386193e8	7.128508162063357e-7
1962.	Lahr	169.	2.18862e8	1.0829843088594945e6	2.5115501352028218e8	-13765.195401450508	2.5348133154312733e8	9.23374412555537e-7
1962.	Lahr	237.	5.18784e8	1.2866218210091668e6	5.0130725372142595e8	-19382.007601409114	5.059007895229599e8	7.772291621913004e-7
1962.	Lahr	255.	6.03897e8	1.326131757028985e6	5.661823683050246e8	-20446.546528031013	5.713962376696725e8	7.540728850656301e-7
1962.	Lahr	280.	7.3055325e8	1.3773553640053852e6	6.594725500242836e8	-21846.418645434394	6.655895472450051e8	7.26029045323477e-7
1962.	Lahr	293.	8.298517499999999e8	1.412914872860136e6	7.302931368514594e8	-23042.517683043086	7.37044594532591e8	7.077567227923078e-7
1962.	Lahr	327.	9.7778625e8	1.4595204068710534e6	8.329610537707375e8	-24034.38569429471	8.408202978927721e8	6.851565728661639e-7
1962.	Lahr	362.	1.1773965e9	1.5143971004547598e6	9.666476856590183e8	-25508.91217598677	9.758819118667254e8	6.603287867493335e-7
