Year	Author	Temperature	Pressure
1970.0	Leming	114.914	67362.407042
1970.0	Leming	114.855	66966.707346
1970.0	Leming	114.457	64321.598866
1970.0	Leming	114.01	61448.243122
1970.0	Leming	113.608	58925.65756000001
1970.0	Leming	113.141	56158.826094
1970.0	Leming	113.072	55688.466078000005
1970.0	Leming	112.649	53347.065114000005
1970.0	Leming	112.494	52415.277656000006
1970.0	Leming	112.179	50768.217668
1970.0	Leming	111.939	49366.203516
1970.0	Leming	111.65	47985.387562
1970.0	Leming	111.433	46831.885618
1970.0	Leming	111.169	45583.991698
1970.0	Leming	110.772	43606.826438000004
1970.0	Leming	110.512	42434.392770000006
1970.0	Leming	110.305	41437.410854
1970.0	Leming	109.982	40042.996056
1970.0	Leming	109.6	38281.279148
1970.0	Leming	109.476	37857.315188
1970.0	Leming	108.828	35171.01021
1970.0	Leming	108.746	34897.433466
1970.0	Leming	108.341	33287.970282
1970.0	Leming	108.029	32166.332296
1970.0	Leming	107.926	31813.028996
1970.0	Leming	107.799	27915.760292
1970.0	Leming	107.317	29629.881246
1970.0	Leming	107.279	29465.895186
1970.0	Leming	106.799	27915.760292
1970.0	Leming	106.138	25840.203396
1970.0	Leming	105.588	24187.810528
1970.0	Leming	105.304	23407.210218
1970.0	Leming	104.978	22487.021774
1970.0	Leming	104.54	21338.852710000003
1970.0	Leming	104.37	20877.958556
1970.0	Leming	103.886	19654.729206
1970.0	Leming	102.776	17134.676762
1970.0	Leming	102.463	16471.799778
1970.0	Leming	102.226	15973.708786000001
1970.0	Leming	101.834	15193.508442
1970.0	Leming	101.224	14033.473720000002
1970.0	Leming	100.749	13192.745187999999
1970.0	Leming	100.213	12283.62247
1970.0	Leming	99.378	10980.533242000001
1970.0	Leming	98.506	9748.771284
1970.0	Leming	97.418	8374.354786
1970.0	Leming	96.734	7597.887458
1970.0	Leming	95.974	6810.354404000001
1970.0	Leming	94.889	5804.706558000001
1970.0	Leming	94.238	5261.686052
1970.0	Leming	90.45	2888.154486
1970.0	Leming	90.25	2795.09573
1970.0	Leming	90.029	2693.3710440000004
1970.0	Leming	89.66	2533.517966
1970.0	Leming	89.644	2526.851866
1970.0	Leming	89.114	2309.670328
1970.0	Leming	88.189	1969.565906
1970.0	Leming	87.877	1865.84139
1970.0	Leming	87.366	1703.9884820000002
1970.0	Leming	87.328	1694.389298
1970.0	Leming	86.882	1564.2670260000002
1970.0	Leming	86.468	1456.276206
1970.0	Leming	86.027	1339.086168
1970.0	Leming	85.316	1175.90004
1970.0	Leming	84.635	1033.7787879999998
1970.0	Leming	84.138	941.91993
1970.0	Leming	83.879	897.657026
1970.0	Leming	83.215	785.666546
1970.0	Leming	82.761	718.205614
1970.0	Leming	81.896	606.4817780000001
1970.0	Leming	80.746	480.49248800000004
1970.0	Leming	80.156	424.097282
1970.0	Leming	79.054	336.63805
1970.0	Leming	78.199	281.30942
1970.0	Leming	77.853	261.577764
1970.0	Leming	76.773	207.182388
1970.0	Leming	75.278	151.05382600000002
1970.0	Leming	74.027	112.123802
1970.0	Leming	72.279	69.727406
1970.0	Leming	71.057	51.862258000000004
1970.0	Leming	70.342	39.32999
1970.0	Leming	68.663	24.797892
1970.0	Leming	68.07	18.665080000000003
1970.0	Leming	67.589	17.465182000000002
1970.0	Leming	66.822	12.265624
1970.0	Leming	66.59	11.719003800000001
1970.0	Leming	65.675	8.2526318
1970.0	Leming	65.62	8.105977600000001
1970.0	Leming	64.909	6.2261374
1970.0	Leming	64.084	4.4929514
1970.0	Leming	63.138	3.0797382
1970.0	Leming	62.152	2.2931384
1970.0	Leming	61.244	1.8131792
1970.0	Leming	61.128	1.5865318000000002
1970.0	Leming	60.122	1.066576
1970.0	Leming	59.727	0.999915
1970.0	Leming	58.304	0.6132812
1970.0	Leming	57.565	0.466627
1970.0	Leming	56.297	0.2799762
1970.0	Leming	55.415	0.2266474
1970.0	Leming	54.38	0.133322
1970.0	Leming	53.467	0.11465692
1970.0	Leming	51.961	0.06932743999999999
1970.0	Leming	49.259	0.0399966
1970.0	Leming	46.017	0.02799762
1970.0	Leming	45.13	0.02799762
2018.0	Shakeel	38.5	1.6799999999999998e-06
2018.0	Shakeel	38.996	2.68e-06
2018.0	Shakeel	39.495	4.01e-06
2018.0	Shakeel	39.994	6.3e-06
2018.0	Shakeel	40.495	9.679999999999999e-06
2018.0	Shakeel	40.999	1.475e-05
2018.0	Shakeel	41.499	2.262e-05
2018.0	Shakeel	41.999	3.4219999999999994e-05
2018.0	Shakeel	42.505	5.092e-05
2018.0	Shakeel	38.498	1.86e-06
2018.0	Shakeel	38.996	2.84e-06
2018.0	Shakeel	39.496	4.34e-06
2018.0	Shakeel	39.998	6.559999999999999e-06
2018.0	Shakeel	40.495	9.97e-06
2018.0	Shakeel	41.004	1.5269999999999998e-05
2018.0	Shakeel	41.503	2.312e-05
2018.0	Shakeel	42.003	3.5289999999999996e-05
2018.0	Shakeel	42.504	5.406e-05
1935.0	Keesom	115.94	73193.778
1935.0	Keesom	115.32	69692.74228
1935.0	Keesom	115.29	69618.08196000001
1935.0	Keesom	113.84	60389.53312
1935.0	Keesom	112.28	51243.64392
1935.0	Keesom	111.73	48323.892120000004
1935.0	Keesom	111.51	47230.65172
1935.0	Keesom	110.54	42708.36948
1935.0	Keesom	106.8	27906.96104
1935.0	Keesom	106.52	27049.700580000004
1935.0	Keesom	102.85	17414.51964
1935.0	Keesom	98.04	9140.55632
1935.0	Keesom	93.14	4452.9547999999995
1935.0	Keesom	90.21	2761.09862
1935.0	Keesom	90.16	2751.7660800000003
1935.0	Keesom	90.06	2687.7715200000002
1935.0	Keesom	86.95	1587.8650200000002
1935.0	Keesom	86.0	1339.8861
1935.0	Keesom	82.91	731.9377800000001
1935.0	Keesom	78.66	313.3067
1958.0	Fisher	80.0	422.63074
1958.0	Fisher	79.0	339.97110000000004
1958.0	Fisher	78.0	271.97688
1958.0	Fisher	77.0	215.98164
1958.0	Fisher	76.0	171.98538000000002
1958.0	Fisher	75.0	135.98844
1958.0	Fisher	74.0	107.32421000000001
1958.0	Fisher	73.0	84.65947
1958.0	Fisher	72.0	66.394356
1961.0	Beaumont	115.758	73160.4475
1961.0	Beaumont	115.661	72265.85687999999
1961.0	Beaumont	115.626	71981.88102
1961.0	Beaumont	115.112	68459.51378000001
1961.0	Beaumont	113.447	57764.42294
1961.0	Beaumont	113.228	56435.202600000004
1961.0	Beaumont	110.836	43844.27292
1961.0	Beaumont	110.495	42237.74282
1961.0	Beaumont	108.125	32485.23852
1961.0	Beaumont	107.651	30750.7193
1961.0	Beaumont	104.906	22320.769239999998
1961.0	Beaumont	104.691	21699.488719999998
1961.0	Beaumont	101.984	15524.01368
1961.0	Beaumont	98.959	10455.11124
1961.0	Beaumont	95.931	6767.42472
1961.0	Beaumont	92.603	4166.3125
1961.0	Beaumont	89.273	2385.13058
1961.0	Beaumont	89.266	2374.4648199999997
1961.0	Beaumont	86.319	1426.5454
1961.0	Beaumont	83.282	809.26454
1972.0	Lee	115.77	72916.068274
1972.0	Lee	115.77	72914.601732
1972.0	Lee	115.77	72912.86854600001
1972.0	Lee	115.77	72908.86888600001
1972.0	Lee	115.77	72908.068954
1972.0	Lee	115.77	72903.002718
1972.0	Lee	115.77	72895.536686
1972.0	Lee	115.77	72890.603772
1972.0	Lee	115.76	72874.73845399999
1972.0	Lee	115.76	72872.738624
1972.0	Lee	115.76	72869.538896
