Year	Author	Temperature	Thermal Expansion Coefficient
1972.0	Tilford	1.0	1.5e-07
1972.0	Tilford	1.5	5.17e-07
1972.0	Tilford	2.0	1.25e-06
1972.0	Tilford	2.5	2.51e-06
1972.0	Tilford	3.0	4.485e-06
1972.0	Tilford	3.5	7.39e-06
1972.0	Tilford	4.0	1.15e-05
1972.0	Tilford	4.5	1.712e-05
1972.0	Tilford	5.0	2.438e-05
1972.0	Tilford	5.5	3.328e-05
1972.0	Tilford	6.0	4.383e-05
1972.0	Tilford	6.5	5.6e-05
1972.0	Tilford	7.0	6.96e-05
1972.0	Tilford	7.5	8.46e-05
1972.0	Tilford	8.0	0.0001005
1972.0	Tilford	8.5	0.0001172
1972.0	Tilford	9.0	0.0001349
1972.0	Tilford	9.5	0.0001527
1972.0	Tilford	10.0	0.0001709
1972.0	Tilford	10.5	0.0001896
1972.0	Tilford	11.0	0.0002082
1972.0	Tilford	12.0	0.0002444
1972.0	Tilford	13.0	0.0002796
1972.0	Tilford	14.0	0.0003135
1972.0	Tilford	15.0	0.000346
1972.0	Tilford	16.0	0.0003767
1972.0	Tilford	18.0	0.0004323
1972.0	Tilford	20.0	0.0004819
1972.0	Tilford	25.0	0.000579
1972.0	Tilford	30.0	0.000653
1972.0	Tilford	35.0	0.000708
1972.0	Tilford	40.0	0.000756
1972.0	Tilford	45.0	0.000798
1967.0	Manzhelli	12.0	0.000256
1967.0	Manzhelli	16.0	0.000408
1967.0	Manzhelli	20.0	0.000508
1967.0	Manzhelli	25.0	0.00058
1967.0	Manzhelli	30.0	0.000641
1967.0	Manzhelli	35.0	0.0007
1967.0	Manzhelli	40.0	0.000754
1967.0	Manzhelli	45.0	0.0008
1967.0	Manzhelli	50.0	0.000842
1967.0	Manzhelli	55.0	0.000881
1967.0	Manzhelli	60.0	0.000921
1967.0	Manzhelli	65.0	0.000961
1967.0	Manzhelli	69.0	0.000992
1971.0	Korpiun	4.0	1.5e-05
1971.0	Korpiun	6.0	5.1e-05
1971.0	Korpiun	8.0	0.000103
1971.0	Korpiun	10.0	0.000168
1971.0	Korpiun	15.0	0.000334
1971.0	Korpiun	20.0	0.000471
1971.0	Korpiun	25.0	0.000577
1971.0	Korpiun	30.0	0.000654
1971.0	Korpiun	35.0	0.000712
1971.0	Korpiun	40.0	0.000754
1971.0	Korpiun	45.0	0.000792
1971.0	Korpiun	50.0	0.000826
1971.0	Korpiun	55.0	0.000865
1971.0	Korpiun	60.0	0.000904
1971.0	Korpiun	65.0	0.000945
1971.0	Korpiun	70.0	0.000987
1971.0	Korpiun	75.0	0.00102
1971.0	Korpiun	80.0	0.00107
1971.0	Korpiun	85.0	0.00113
1971.0	Korpiun	90.0	0.00119
1971.0	Korpiun	95.0	0.00127
1971.0	Korpiun	100.0	0.00136
1971.0	Korpiun	105.0	0.00148
1971.0	Korpiun	110.0	0.00164
1971.0	Korpiun	115.0	0.00182
1968.0	Losee	4.0	1.5e-05
1968.0	Losee	6.0	5.1e-05
1968.0	Losee	8.0	0.000103
1968.0	Losee	10.0	0.000168
1968.0	Losee	15.0	0.000334
1968.0	Losee	20.0	0.000471
1968.0	Losee	25.0	0.000577
1968.0	Losee	30.0	0.000654
1968.0	Losee	35.0	0.000712
1968.0	Losee	40.0	0.000754
1968.0	Losee	45.0	0.000792
1968.0	Losee	50.0	0.000826
1968.0	Losee	55.0	0.000865
1968.0	Losee	60.0	0.000904
1968.0	Losee	65.0	0.000945
1968.0	Losee	70.0	0.000987
1968.0	Losee	75.0	0.00103
1968.0	Losee	80.0	0.00107
1968.0	Losee	85.0	0.00112
1968.0	Losee	90.0	0.00117
1968.0	Losee	95.0	0.00122
1968.0	Losee	100.0	0.00129
1968.0	Losee	105.0	0.00138
1968.0	Losee	110.0	0.00148
1968.0	Losee	115.0	0.0016
