Year	Author	Temperature	Beta S
1971	Balzer	0.5	0.000885
1971	Balzer	1	0.000885
1971	Balzer	1.5	0.000885
1971	Balzer	2	0.000885
1971	Balzer	2.5	0.000885
1971	Balzer	3	0.000886
1971	Balzer	3.5	0.000887
1971	Balzer	4	0.000887
1971	Balzer	4.5	0.000888
1971	Balzer	5	0.000889
1971	Balzer	5.5	0.00089
1971	Balzer	6	0.000891
1971	Balzer	6.5	0.000893
1971	Balzer	7	0.000894
1971	Balzer	7.5	0.000898
1971	Balzer	8	0.0009
1971	Balzer	8.5	0.000903
1971	Balzer	9	0.000907
1971	Balzer	9.5	0.000912
1971	Balzer	10	0.000917
1971	Balzer	11	0.000928
1971	Balzer	12	0.000942
1971	Balzer	13	0.000959
1971	Balzer	14	0.00098
1971	Balzer	15	0.001
1971	Balzer	16	0.00103
1971	Balzer	17	0.00106
1971	Balzer	18	0.00109
1971	Balzer	19	0.00113
1971	Balzer	20	0.00116
1971	Balzer	21	0.0012
1971	Balzer	22	0.00124
1971	Balzer	23	0.00128
1977	Rand	23.7	0.00112
1977	Rand	24.3	0.00114
1975	McLaren	5	0.00089
1975	McLaren	24.3	0.00114
1972	Gewurtz	24.3	0.00113
1972	Skalyo	5	0.000898
