Year	Author	Temperature	Beta T
1967	Batchelder	4	0.0009
1967	Batchelder	6	0.00091
1967	Batchelder	8	0.00092
1967	Batchelder	10	0.00094
1967	Batchelder	12	0.00096
1967	Batchelder	14	0.001
1967	Batchelder	16	0.00107
1967	Batchelder	18	0.00124
1967	Batchelder	20	0.00162
1970	Schoknecht	2	0.000885
1970	Schoknecht	3	0.000886
1970	Schoknecht	4	0.000888
1970	Schoknecht	5	0.000891
1970	Schoknecht	6	0.000896
1970	Schoknecht	7	0.000903
1970	Schoknecht	8	0.000913
1970	Schoknecht	9	0.000926
1970	Schoknecht	10	0.000942
1970	Schoknecht	11	0.000962
1970	Schoknecht	12	0.000987
1970	Schoknecht	13	0.00102
1970	Schoknecht	14	0.00105
1970	Schoknecht	15	0.0011
1970	Schoknecht	16	0.00115
1970	Schoknecht	17	0.0012
1970	Schoknecht	18	0.00126
1970	Schoknecht	19	0.00132
1970	Schoknecht	20	0.00139
1970	Schoknecht	21	0.00146
1970	Schoknecht	22	0.00154
1970	Schoknecht	23	0.00162
1970	Schoknecht	24	0.00171
1972	Anderson	4.2	0.000911
1972	Anderson	13.5	0.000974
1972	Anderson	19.9	0.00121
1990	Schlosser	19.9	0.00123
1990	Schlosser	24.55	0.00131
1969	Leake	4.7	0.00089
