Year	Author	Temperature	Cell Volume
1961.0	Kogan, Lazarev	4.2	13.392555932965443
1962.0	Bolz, Mauer	4.2	13.37636179211709
1962.0	Bolz, Mauer	4.2	13.378160496075967
1940.0	Clusius	24.57	14.03
1967.0	Batchelder	3.0	13.388866772823778
1967.0	Batchelder	4.0	13.388866772823778
1967.0	Batchelder	5.0	13.390643662906438
1967.0	Batchelder	6.0	13.39242102468808
1967.0	Batchelder	7.0	13.396866494058289
1967.0	Batchelder	8.0	13.403095111583422
1967.0	Batchelder	9.0	13.412894649385178
1967.0	Batchelder	10.0	13.424494411921234
1967.0	Batchelder	11.0	13.43969363969364
1967.0	Batchelder	12.0	13.458516740029344
1967.0	Batchelder	13.0	13.48189470871192
1967.0	Batchelder	14.0	13.50806613561818
1967.0	Batchelder	15.0	13.538879570613888
1967.0	Batchelder	16.0	13.573484899441718
1967.0	Batchelder	17.0	13.611939291736933
1967.0	Batchelder	18.0	13.654306786656743
1967.0	Batchelder	19.0	13.701588810429111
1967.0	Batchelder	20.0	13.754822438824892
1967.0	Batchelder	22.0	13.875885305645328
1967.0	Batchelder	23.0	13.94588804422944
1967.0	Batchelder	23.5	13.982608093126386
1965.0	Batchelder	3.0	13.3892
1965.0	Batchelder	3.5	13.3894
1965.0	Batchelder	4.0	13.3897
1965.0	Batchelder	4.5	13.3902
1965.0	Batchelder	5.0	13.391
1965.0	Batchelder	6.0	13.3935
1965.0	Batchelder	7.0	13.3977
1965.0	Batchelder	8.0	13.4042
1965.0	Batchelder	9.0	13.4134
1965.0	Batchelder	10.0	13.4254
1965.0	Batchelder	11.0	13.4408
1965.0	Batchelder	12.0	13.4597
1965.0	Batchelder	13.0	13.4823
1965.0	Batchelder	14.0	13.5087
1965.0	Batchelder	15.0	13.5395
1965.0	Batchelder	16.0	13.5741
1965.0	Batchelder	17.0	13.6125
1965.0	Batchelder	18.0	13.6551
1965.0	Batchelder	19.0	13.7027
1965.0	Batchelder	20.0	13.7552
1965.0	Batchelder	21.0	13.8131
1965.0	Batchelder	22.0	13.8765
1965.0	Batchelder	23.0	13.9455
1965.0	Batchelder	23.5	13.9821
1977.0	Crawford	24.553	14.065
1975.0	Holste	0.5	13.391
1975.0	Holste	1.0	13.391
1975.0	Holste	1.5	13.391
1975.0	Holste	2.0	13.391
1975.0	Holste	2.5	13.391
1975.0	Holste	3.0	13.391
1975.0	Holste	3.5	13.391
1975.0	Holste	4.0	13.392
1975.0	Holste	4.5	13.392
1975.0	Holste	5.0	13.393
1975.0	Holste	5.5	13.394
1975.0	Holste	6.0	13.395
1975.0	Holste	6.5	13.397
1975.0	Holste	7.0	13.3995
1975.0	Holste	7.5	13.402
1975.0	Holste	8.0	13.406
1975.0	Holste	8.5	13.41
1975.0	Holste	9.0	13.415
1975.0	Holste	9.5	13.42
1975.0	Holste	10.0	13.427
1975.0	Holste	11.0	13.442
1975.0	Holste	12.0	13.461
1975.0	Holste	13.0	13.484
1975.0	Holste	14.0	13.51
1975.0	Holste	15.0	13.541
1975.0	Holste	16.0	13.576
1975.0	Holste	17.0	13.614
1975.0	Holste	18.0	13.656
1975.0	Holste	19.0	13.704
1975.0	Holste	20.0	13.757
1975.0	Holste	21.0	13.811
1975.0	Holste	22.0	13.878
1975.0	Holste	23.0	13.948
1973.0	Anderson 	4.2	13.394
1973.0	Anderson 	13.5	13.49
1973.0	Anderson 	19.9	13.759
1992.0	Peek	4.7	13.39
1992.0	Peek	9.4	13.42
1992.0	Peek	11.4	13.45
1992.0	Peek	17.8	13.65
1966.0	Barrett	16.0	13.537078677864452
1968.0	Leake	4.7	13.374563249390183
