Year	Author	Temperature	Pressure
1971.0	Crawford	33.144	62903000.0
1971.0	Crawford	33.146	62924000.0
1971.0	Crawford	41.53	135520000.0
1971.0	Crawford	41.53	135519000.0
1971.0	Crawford	48.497	202763000.0
1971.0	Crawford	48.498	202781000.0
1971.0	Crawford	54.513	265357000.00000003
1971.0	Crawford	54.513	265364000.0
1971.0	Crawford	59.873	324372000.0
1971.0	Crawford	59.974	324380000.0
1971.0	Crawford	64.665	379487000.0
1971.0	Crawford	64.665	379496000.0
1971.0	Crawford	69.476	437020000.0
1971.0	Crawford	69.477	437026000.0
1971.0	Crawford	74.168	495152000.00000006
1971.0	Crawford	74.17	495134000.0
1971.0	Crawford	78.896	555534000.0
1971.0	Crawford	78.9	555566000.0
1971.0	Crawford	82.311	600254000.0
1971.0	Crawford	82.312	600362000.0
1971.0	Crawford	87.519	670230000.0
1971.0	Crawford	87.52	670255000.0
1971.0	Crawford	93.615	754849000.0
1971.0	Crawford	93.615	754804000.0
1971.0	Crawford	96.716	798815000.0
1971.0	Crawford	96.716	798944000.0
1971.0	Crawford	99.962	845669000.0
1971.0	Crawford	100.023	846509000.0
1971.0	Crawford	105.253	923466000.0
1971.0	Crawford	105.253	923465000.0
1971.0	Crawford	109.87	992811000.0
1971.0	Crawford	109.876	992920999.9999999
1971.0	Crawford	110.04	995354999.9999999
1971.0	Crawford	110.041	995358000.0
1971.0	Vos	143.3	1570000000.0
1971.0	Vos	177.4	2180000000.0
1971.0	Vos	197.7	2590000000.0
1971.0	Vos	270.6	4130000000.0
1971.0	Vos	273.5	4180000000.0
1971.0	Vos	288.4	4540000000.0
1971.0	Vos	293.5	4640000000.0
1971.0	Vos	294.2	4660000000.0
1971.0	Vos	321.3	5280000000.0
1971.0	Vos	327.9	5450000000.0
1977.0	Crawford	24.533	40000.0
1977.0	Crawford	25.0	3030000.0
1977.0	Crawford	30.0	38380000.0
1977.0	Crawford	35.0	78040000.0
1977.0	Crawford	40.0	121459999.99999999
1977.0	Crawford	45.0	168220000.0
1977.0	Crawford	50.0	218019999.99999997
1977.0	Crawford	60.0	325840000.0
1977.0	Crawford	80.0	569880000.0
1977.0	Crawford	110.0	994850000.0
1977.0	Crawford	300.0	4788000000.0
