Year	Author	Temperature	Pressure
1981.0	Staveley	24.56	43356.3144
2018.0	Shakeel	8.004	2.9800000000000003e-05
2018.0	Shakeel	8.251	6.87e-05
2018.0	Shakeel	8.502	0.00016329999999999998
2018.0	Shakeel	8.749	0.00036170000000000006
2018.0	Shakeel	8.792	0.00044820000000000005
2018.0	Shakeel	9.046	0.0009212000000000002
2018.0	Shakeel	9.468	0.0025288000000000003
2018.0	Shakeel	9.727	0.0050972000000000005
2018.0	Shakeel	8.996	0.0009170000000000001
2018.0	Shakeel	9.251	0.0018324000000000003
2018.0	Shakeel	9.518	0.0035742000000000005
2018.0	Shakeel	9.776	0.0065639
1961.0	Bigeleisen	16.42	203.98266
1961.0	Bigeleisen	16.66	265.31078
1961.0	Bigeleisen	16.67	270.64365999999995
1961.0	Bigeleisen	16.69	274.64332
1961.0	Bigeleisen	16.7	275.97654
1961.0	Bigeleisen	16.76	294.64162
1961.0	Bigeleisen	16.93	350.63686
1961.0	Bigeleisen	16.96	359.9694
1961.0	Bigeleisen	17.1	413.2982
1961.0	Bigeleisen	17.11	418.63108
1961.0	Bigeleisen	17.2	454.62802000000005
1961.0	Bigeleisen	17.25	475.95954
1961.0	Bigeleisen	17.26	477.29276000000004
1961.0	Bigeleisen	17.26	478.62597999999997
1961.0	Bigeleisen	17.5	598.6157800000001
1961.0	Bigeleisen	17.6	654.61102
1961.0	Bigeleisen	17.63	671.9428800000001
1961.0	Bigeleisen	17.86	813.2642
1961.0	Bigeleisen	17.89	834.59572
1961.0	Bigeleisen	17.94	870.59266
1961.0	Bigeleisen	17.95	874.59232
1961.0	Bigeleisen	17.96	885.25808
1961.0	Bigeleisen	18.28	1133.237
1961.0	Bigeleisen	18.43	1266.559
1961.0	Bigeleisen	18.44	1267.89222
1961.0	Bigeleisen	19.12	2151.8170800000003
1961.0	Bigeleisen	19.14	2179.8147000000004
1961.0	Bigeleisen	19.14	2190.48046
1961.0	Bigeleisen	19.15	2193.1468999999997
1961.0	Bigeleisen	19.15	2193.1468999999997
1961.0	Bigeleisen	19.18	2238.47638
1961.0	Bigeleisen	19.21	2271.80688
1961.0	Bigeleisen	19.23	2307.80382
1961.0	Bigeleisen	19.26	2362.46584
1961.0	Bigeleisen	19.98	3890.33596
1961.0	Bigeleisen	19.99	3914.33392
1961.0	Bigeleisen	19.99	3923.66646
1961.0	Bigeleisen	20.0	3935.66544
1961.0	Bigeleisen	20.24	4587.61002
1961.0	Bigeleisen	20.46	5284.88408
1961.0	Bigeleisen	20.47	5311.54848
1961.0	Bigeleisen	20.48	5339.5461
1961.0	Bigeleisen	20.65	5975.49204
1961.0	Bigeleisen	20.87	6824.75318
1961.0	Bigeleisen	20.88	6856.75046
1961.0	Bigeleisen	21.03	7503.362160000001
1961.0	Bigeleisen	21.07	7723.34346
1961.0	Bigeleisen	21.08	7751.34108
1961.0	Bigeleisen	21.62	10588.43324
1961.0	Bigeleisen	21.63	10647.09492
1961.0	Bigeleisen	21.83	11930.985779999999
1961.0	Bigeleisen	21.84	12013.64542
1961.0	Bigeleisen	21.87	12041.643039999999
1961.0	Bigeleisen	22.14	14086.80252
1961.0	Bigeleisen	22.14	14120.13302
1961.0	Bigeleisen	22.16	14229.45706
1961.0	Bigeleisen	22.18	14364.11228
1961.0	Bigeleisen	22.18	14416.10786
1961.0	Bigeleisen	22.24	14798.742
1961.0	Bigeleisen	22.25	14865.403
1961.0	Bigeleisen	22.27	15008.05754
1961.0	Bigeleisen	22.75	18607.75154
1961.0	Bigeleisen	22.82	19210.366980000003
1961.0	Bigeleisen	22.83	19379.685920000004
1961.0	Bigeleisen	22.86	19602.33366
1961.0	Bigeleisen	22.87	19715.65736
1961.0	Bigeleisen	22.88	19724.9899
1961.0	Bigeleisen	23.04	21235.52816
1961.0	Bigeleisen	23.04	21238.194600000003
1961.0	Bigeleisen	23.04	21250.19358
1961.0	Bigeleisen	23.06	21396.84778
1961.0	Bigeleisen	23.16	22460.75734
1961.0	Bigeleisen	23.16	22463.42378
1961.0	Bigeleisen	23.17	22474.08954
1961.0	Bigeleisen	23.17	22499.42072
1961.0	Bigeleisen	23.17	22507.42004
1961.0	Bigeleisen	23.6	27636.31738
1961.0	Bigeleisen	23.61	27854.965460000003
1961.0	Bigeleisen	23.62	27942.95798
1961.0	Bigeleisen	23.77	29986.784239999997
1961.0	Bigeleisen	23.77	29990.7839
1961.0	Bigeleisen	24.01	33319.83424
