Year	Author	Temperature	Thermal Expansion Coefficient
1971.0	Korpiun	4.0	6e-05
1971.0	Korpiun	5.0	0.000138
1971.0	Korpiun	6.0	0.000246
1971.0	Korpiun	7.0	0.000393
1971.0	Korpiun	8.0	0.000573
1971.0	Korpiun	9.0	0.000786
1971.0	Korpiun	10.0	0.00102
1971.0	Korpiun	11.0	0.00127
1971.0	Korpiun	12.0	0.00154
1971.0	Korpiun	13.0	0.00182
1971.0	Korpiun	14.0	0.00211
1971.0	Korpiun	15.0	0.00241
1971.0	Korpiun	16.0	0.0027
1971.0	Korpiun	17.0	0.003
1971.0	Korpiun	18.0	0.00331
1971.0	Korpiun	19.0	0.00365
1971.0	Korpiun	20.0	0.00401
1971.0	Korpiun	21.0	0.00439
1971.0	Korpiun	22.0	0.00476
1971.0	Korpiun	23.0	0.00515
1975.0	Holste	0.5	1.005e-07
1975.0	Holste	1.0	8.069e-07
1975.0	Holste	1.5	2.734e-06
1975.0	Holste	2.0	6.536999999999999e-06
1975.0	Holste	2.5	1.3019999999999999e-05
1975.0	Holste	3.0	2.319e-05
1975.0	Holste	3.5	3.835e-05
1975.0	Holste	4.0	5.997e-05
1975.0	Holste	4.5	8.955e-05
1975.0	Holste	5.0	0.0001283
1967.0	Batchelder	4.0	6e-05
1967.0	Batchelder	5.0	0.000138
1967.0	Batchelder	6.0	0.000246
1967.0	Batchelder	7.0	0.000393
1967.0	Batchelder	8.0	0.000573
1967.0	Batchelder	9.0	0.000786
1967.0	Batchelder	10.0	0.0010170000000000001
1967.0	Batchelder	11.0	0.001269
1967.0	Batchelder	12.0	0.0015390000000000002
1967.0	Batchelder	13.0	0.001818
1967.0	Batchelder	14.0	0.002109
1967.0	Batchelder	15.0	0.002409
1967.0	Batchelder	16.0	0.0027
1967.0	Batchelder	17.0	0.002997
1967.0	Batchelder	18.0	0.003312
1967.0	Batchelder	19.0	0.003654
1967.0	Batchelder	20.0	0.004011
1967.0	Batchelder	21.0	0.004386
1967.0	Batchelder	22.0	0.004764
1967.0	Batchelder	23.0	0.005154000000000001
