Year	Author	Temperature	Beta S
1967	Manzhelli	0	0.000278
1967	Manzhelli	11	0.000279
1967	Manzhelli	15	0.000279
1967	Manzhelli	21.5	0.000281
1967	Manzhelli	25	0.000282
1967	Manzhelli	30	0.000284
1967	Manzhelli	35	0.000286
1967	Manzhelli	40	0.000289
1967	Manzhelli	45	0.000292
1967	Manzhelli	50	0.000296
1967	Manzhelli	55	0.000301
1967	Manzhelli	60	0.000304
1967	Manzhelli	65	0.00031
1967	Manzhelli	70	0.000316
1967	Manzhelli	75	0.000323
1967	Manzhelli	80	0.000328
1967	Manzhelli	85	0.000335
1967	Manzhelli	90	0.000344
1967	Manzhelli	100	0.000361
1967	Manzhelli	120	0.000402
1967	Manzhelli	140	0.000452
1974	Shirane	10	0.000275
1974	Shirane	111	0.000336
1974	Shirane	156	0.000442
1974	Shirane	159.6	0.000476
1970	Gornal	151	0.000439
1970	Gornal	156	0.000442
1977	Rand	156	0.000442
1977	Rand	159.6	0.000476
1970	Klein	0	0.000275
1970	Klein	20	0.000284
1970	Klein	40	0.000306
1970	Klein	80	0.000377
1970	Klein	120	0.000478
1970	Klein	160	0.000586
