Year	Author	Temperature	Beta T
1967	Urvas	20	0.000263
1967	Urvas	56	0.000313
1967	Urvas	77	0.000355
1967	Urvas	111	0.000476
1967	Urvas	142	0.000556
1967	Manzhelli	0	0.000278
1967	Manzhelli	11	0.00028
1967	Manzhelli	15	0.000282
1967	Manzhelli	21.5	0.000286
1967	Manzhelli	25	0.000288
1967	Manzhelli	30	0.000292
1967	Manzhelli	35	0.000297
1967	Manzhelli	40	0.000303
1967	Manzhelli	45	0.00031
1967	Manzhelli	50	0.000318
1967	Manzhelli	55	0.000326
1967	Manzhelli	60	0.000335
1967	Manzhelli	65	0.000344
1967	Manzhelli	70	0.000355
1967	Manzhelli	75	0.000367
1967	Manzhelli	80	0.000378
1967	Manzhelli	85	0.000391
1967	Manzhelli	90	0.000404
1967	Manzhelli	100	0.000433
1967	Manzhelli	120	0.000503
1967	Manzhelli	140	0.000595
1975	Anderson	4	0.000275
1975	Anderson	20	0.000282
1975	Anderson	40	0.000303
1975	Anderson	60	0.000331
1975	Anderson	77	0.000366
1975	Anderson	80	0.000369
1975	Anderson	100	0.000407
1975	Anderson	120	0.000444
1975	Anderson	140	0.000521
1975	Anderson	159	0.000676
1974	Korpiun	4	0.000264
1974	Korpiun	65.5	0.000338
1974	Korpiun	77	0.000355
1990	Schlosser	159	0.000676
1990	Schlosser	161.36	0.000681
1963	Packard	0	0.000278
1963	Packard	20	0.000286
1963	Packard	50	0.000313
1963	Packard	75	0.00037
1963	Packard	100	0.000435
1963	Packard	125	0.000526
1963	Packard	150	0.000667
