Year	Author	Temperature	Cell Volume	Pressure					
1987	Jephcoat	298	21.2	10000					10
1987	Jephcoat	298	19.8	13500					13.5
1987	Jephcoat	298	12.62	75600					75.6
1987	Jephcoat	298	12.17	86800					86.8
1987	Jephcoat	298	11.8	96000					96
1987	Jephcoat	298	11.35	107500					107.5
1987	Jephcoat	298	11.3	111400					111.4
1987	Jephcoat	298	11.05	116100					116.1
1987	Jephcoat	298	10.8	125500					125.5
1987	Jephcoat	298	10.6	132600					132.6
1987	Jephcoat	298	10.45	137300					137.3
2024	Rosa	429	40.8526458	1391					1.391
2024	Rosa	429	40.8478282	1421					1.421
2024	Rosa	429	40.8454194	1431					1.431
2024	Rosa	429	40.8363864	1471					1.471
2024	Rosa	429	40.8219336	1521					1.521
2024	Rosa	429	40.8177182	1541					1.541
2024	Rosa	429	40.8086852	1581					1.581
2024	Rosa	429	40.802061	1601					1.601
2024	Rosa	429	40.7737576	1721					1.721
2024	Rosa	429	40.7201618	1941					1.941
2024	Rosa	429	40.7111288	1980					1.98
2024	Rosa	429	40.7063112	2000					2
2024	Rosa	429	40.6400692	2300					2.3
2024	Rosa	429	40.6171856	2400					2.4
2024	Rosa	429	40.5738272	2600					2.6
2024	Rosa	429	40.53962224	2700					2.7
2024	Rosa	429	40.4792818	3000					3
2024	Rosa	429	40.422675	3200					3.2
2024	Rosa	429	40.3064504	3700					3.7
2024	Rosa	429	40.2564678	3900					3.9
2024	Rosa	429	40.1631268	4300					4.3
2024	Rosa	429	40.1041112	4600					4.6
2024	Rosa	429	40.004146	5100					5.1
2024	Rosa	429	39.937904	5400					5.4
2024	Rosa	429	39.8993632	5600					5.6
2024	Rosa	429	39.8403476	5800					5.8
2024	Rosa	429	39.8036134	6000					6
2024	Rosa	429	39.7837408	6100					6.1
2024	Rosa	429	39.76392842	6200					6.2
2024	Rosa	429	39.6735382	6600					6.6
2024	Rosa	429	39.6265666	6900					6.9
2024	Rosa	429	39.5633356	7200					7.2
2024	Rosa	429	39.5061266	7500					7.5
2024	Rosa	429	39.4374758	7800					7.8
2024	Rosa	568	40.88161162	2311					2.311
2024	Rosa	568	40.88010612	2321					2.321
2024	Rosa	568	40.865292	2382					2.382
2024	Rosa	568	40.86246166	2392					2.392
2024	Rosa	568	40.8520436	2432					2.432
2024	Rosa	568	40.814105	2580					2.58
2024	Rosa	568	40.8074808	2613					2.613
2024	Rosa	568	40.790017	2683					2.683
2024	Rosa	568	40.774962	2744					2.744
2024	Rosa	568	40.7587026	2814					2.814
2024	Rosa	568	40.6599418	3200					3.2
2024	Rosa	568	40.5979152	3500					3.5
2024	Rosa	568	40.5696118	3592					3.592
2024	Rosa	568	40.570214	3584					3.584
2024	Rosa	568	40.546126	3700					3.7
2024	Rosa	568	40.5136072	3800					3.8
2024	Rosa	568	40.3257208	4600					4.6
2024	Rosa	568	40.1649334	5300					5.3
2024	Rosa	568	40.0679792	5800					5.8
2024	Rosa	568	39.8734686	6700					6.7
2024	Rosa	568	39.7205098	7400					7.4
