Year	Author	Temperature	Cell Volume
1932.0	Natta	88.0	36.58008245682585
1957.0	Cheesman	58.0	35.62132115742468
1957.0	Cheesman	77.4	35.98539091025437
1957.0	Cheesman	88.9	36.15962587751257
1962.0	Sears	5.0	34.73
1962.0	Sears	10.0	34.74
1962.0	Sears	15.0	34.76
1962.0	Sears	20.0	34.8
1962.0	Sears	25.0	34.86
1962.0	Sears	30.0	34.93
1962.0	Sears	35.0	35.01
1962.0	Sears	40.0	35.11
1962.0	Sears	45.0	35.21
1962.0	Sears	50.0	35.31
1962.0	Sears	55.0	35.42
1962.0	Sears	60.0	35.54
1962.0	Sears	65.0	35.67
1962.0	Sears	70.0	35.8
1962.0	Sears	75.0	35.94
1961.0	Eatwell	20.0	34.80646871686108
1961.0	Eatwell	40.0	35.14186295503212
1961.0	Eatwell	60.0	35.58959067497967
1961.0	Eatwell	80.0	36.04887424492037
1961.0	Eatwell	100.0	36.54049540773727
1961.0	Eatwell	120.0	37.06662902315076
1965.0	Curzon	7.0	34.696435429735146
1963.0	Packard	20.0	34.69
1963.0	Packard	30.0	35.07
1963.0	Packard	40.0	35.05
1963.0	Packard	64.0	35.75
1963.0	Packard	77.0	35.97
1963.0	Packard	77.0	35.92
1963.0	Packard	77.0	35.9
1963.0	Packard	90.0	36.59
1963.0	Packard	90.0	36.32
1963.0	Packard	100.0	36.65
1963.0	Packard	115.0	37.1
1963.0	Packard	130.0	37.56
1963.0	Packard	150.0	38.43
1963.0	Packard	150.0	38.19
1963.0	Packard	150.0	38.16
1963.0	Packard	160.0	38.63
1981.0	Granfors	160.75	38.47610616156075
1981.0	Granfors	160.68	38.456101569260326
1981.0	Granfors	160.71	38.45791988196819
1981.0	Granfors	156.68	38.339848731328274
1981.0	Granfors	156.7	38.339848731328274
1981.0	Granfors	150.94	38.144203747361765
1981.0	Granfors	147.54	38.02677590326225
1981.0	Granfors	147.4	38.01594857620115
1981.0	Granfors	143.28	37.86998075664526
1981.0	Granfors	143.3	37.86998075664526
1981.0	Granfors	141.31	37.78904921207162
1981.0	Granfors	141.35	37.79084643694228
1981.0	Granfors	138.51	37.684907635545926
1981.0	Granfors	138.51	37.68131996345812
1981.0	Granfors	135.99	37.57558604665328
1981.0	Granfors	135.84	37.57558604665328
1981.0	Granfors	134.3	37.52011028881578
1981.0	Granfors	134.46	37.516533083871046
1981.0	Granfors	134.6	37.51832165792087
1981.0	Granfors	130.18	37.39504335762729
1981.0	Granfors	130.19	37.40218254114328
1981.0	Granfors	126.19	37.26669335596505
1981.0	Granfors	119.64	37.04810877296001
1981.0	Granfors	114.05	36.8798695308495
1981.0	Granfors	109.97	36.75975893562729
1981.0	Granfors	140.19	37.74054567660959
1981.0	Granfors	140.15	37.74413710694231
1981.0	Granfors	133.68	37.502226537787536
1981.0	Granfors	133.7	37.50043847530292
1981.0	Granfors	123.07	37.15995963775049
1981.0	Granfors	123.06	37.12975551234222
1981.0	Granfors	104.02	36.54492057286045
1981.0	Granfors	94.06	36.3169174085661
1981.0	Granfors	85.1	36.14217712799333
1981.0	Granfors	78.17	35.93322977838927
1991.0	Peek	153.4	38.2
1972.0	Tilford	4.0	34.71
1972.0	Tilford	20.0	34.823
1972.0	Tilford	40.0	35.15
1972.0	Tilford	60.0	35.558
1972.0	Tilford	77.0	35.95
1972.0	Tilford	80.0	36.023
1972.0	Tilford	100.0	36.545
1963.0	Yen	160.0	38.54890861372211
1963.0	Yen	154.0	38.185812970916096
1963.0	Yen	148.0	38.185812970916096
1963.0	Yen	143.0	38.0051233045714
1963.0	Yen	138.0	37.82500453717072
1963.0	Yen	133.0	37.645455765393
1963.0	Yen	129.0	37.645455765393
1963.0	Yen	125.0	37.46647608591709
2003.0	Herrero	160.879	38.58534425272397
2003.0	Herrero	158.242	38.54890861372211
2003.0	Herrero	150.33	38.185812970916096
2003.0	Herrero	140.659	37.82500453717072
2003.0	Herrero	130.11	37.48434847045576
2003.0	Herrero	120.44	37.14574389206005
2003.0	Herrero	110.769	36.86218982380114
2003.0	Herrero	100.22	36.58008245682585
2003.0	Herrero	89.67	36.3169174085661
2003.0	Herrero	80.0	36.03760249621695
2003.0	Herrero	70.33	35.794379905743746
2003.0	Herrero	60.659	35.58677648116023
2003.0	Herrero	50.11	35.37997733033722
2003.0	Herrero	39.56	35.1739808923358
2003.0	Herrero	29.89	34.985854651932634
2003.0	Herrero	19.341	34.832433062349935
2003.0	Herrero	14.945	34.76438991104225
2003.0	Herrero	9.67	34.74739298016124
2003.0	Herrero	5.275	34.71341574041099
2003.0	Herrero	1.758	34.71341574041099
1969.0	Klein	10.474	34.74739298016124
1969.0	Klein	20.948	34.86648790732038
1969.0	Klein	31.422	35.02000940512163
1969.0	Klein	41.09	35.24255727771035
1969.0	Klein	50.758	35.48327646908733
1969.0	Klein	60.427	35.69047756167324
1969.0	Klein	70.095	35.93322977838927
1969.0	Klein	79.763	36.21200581994778
1969.0	Klein	90.237	36.43957013006855
1969.0	Klein	99.905	36.70332665492732
1969.0	Klein	109.573	36.93294256808914
1969.0	Klein	119.242	37.18129005605392
1969.0	Klein	129.716	37.43074836160587
1998.0	Jephcoat	4.0	34.74
