Year	Author	Temperature	Change in Enthalpy	Pressure
1962.0	Lahr	161.5	2.523	0.4173128341852462
1962.0	Lahr	198.0	2.77	101.4321672761659
1962.0	Lahr	231.0	2.887	203.26998368093956
1962.0	Lahr	262.0	2.891	305.30373098461655
1962.0	Lahr	292.0	2.946	408.7286017896752
1962.0	Lahr	322.0	2.782	516.0672660498066
1962.0	Lahr	351.0	2.741	623.1010738520974
1962.0	Lahr	379.0	2.77	729.1919383924462
1962.0	Lahr	406.0	2.866	833.8349089576335
2008.0	Ferreira	115.772	1.783	0.08177
2008.0	Ferreira	170.6	2.37	24.27704564323439
1977.0	Pollack	161.391	2.295	0.08177
