Year	Author	Temperature	Heat Capacity
1967.0	Manzhelli	0.0	0.0
1967.0	Manzhelli	11.0	9.288480000000002
1967.0	Manzhelli	15.0	14.0164
1967.0	Manzhelli	21.5	18.576960000000003
1967.0	Manzhelli	25.0	19.95768
1967.0	Manzhelli	30.0	21.71496
1967.0	Manzhelli	35.0	22.928320000000003
1967.0	Manzhelli	40.0	23.8488
1967.0	Manzhelli	45.0	24.560080000000003
1967.0	Manzhelli	50.0	25.062160000000002
1967.0	Manzhelli	55.0	25.5224
1967.0	Manzhelli	60.0	25.85712
1967.0	Manzhelli	65.0	26.150000000000002
1967.0	Manzhelli	70.0	26.40104
1967.0	Manzhelli	75.0	26.61024
1967.0	Manzhelli	80.0	26.86128
1967.0	Manzhelli	85.0	27.15416
1967.0	Manzhelli	90.0	27.530720000000002
1967.0	Manzhelli	100.0	28.32568
1967.0	Manzhelli	120.0	30.1248
1967.0	Manzhelli	140.0	32.2168
2015.0	Bodryakov	1.0	0.006
2015.0	Bodryakov	2.0	0.065
2015.0	Bodryakov	3.0	0.238
2015.0	Bodryakov	4.0	0.628
2015.0	Bodryakov	5.0	1.35
2015.0	Bodryakov	6.0	2.33
2015.0	Bodryakov	7.0	3.61
2015.0	Bodryakov	8.0	4.99
2015.0	Bodryakov	9.0	6.35
2015.0	Bodryakov	10.0	7.82
2015.0	Bodryakov	11.0	9.32
2015.0	Bodryakov	12.0	10.59
2015.0	Bodryakov	13.0	11.76
2015.0	Bodryakov	14.0	12.82
2015.0	Bodryakov	15.0	13.83
2015.0	Bodryakov	16.0	14.72
2015.0	Bodryakov	17.0	15.51
2015.0	Bodryakov	18.0	16.24
2015.0	Bodryakov	19.0	16.86
2015.0	Bodryakov	20.0	17.45
2015.0	Bodryakov	22.0	18.59
2015.0	Bodryakov	24.0	19.47
2015.0	Bodryakov	26.0	20.28
2015.0	Bodryakov	28.0	20.89
2015.0	Bodryakov	30.0	21.46
2015.0	Bodryakov	35.0	22.65
2015.0	Bodryakov	40.0	23.58
2015.0	Bodryakov	45.0	24.27
2015.0	Bodryakov	50.0	24.84
2015.0	Bodryakov	55.0	25.24
2015.0	Bodryakov	60.0	25.61
2015.0	Bodryakov	65.0	25.93
2015.0	Bodryakov	70.0	26.26
2015.0	Bodryakov	75.0	26.51
2015.0	Bodryakov	80.0	26.86
2015.0	Bodryakov	85.0	27.19
2015.0	Bodryakov	90.0	27.49
2015.0	Bodryakov	95.0	27.78
2015.0	Bodryakov	100.0	28.19
2015.0	Bodryakov	105.0	28.59
2015.0	Bodryakov	110.0	28.95
2015.0	Bodryakov	115.0	29.42
2015.0	Bodryakov	120.0	29.93
2015.0	Bodryakov	125.0	30.52
2015.0	Bodryakov	130.0	31.07
2015.0	Bodryakov	135.0	31.72
2015.0	Bodryakov	140.0	32.37
2015.0	Bodryakov	145.0	33.07
2015.0	Bodryakov	150.0	33.84
2015.0	Bodryakov	155.0	34.76
2015.0	Bodryakov	160.0	36.12
1969.0	Trefny	4.0	0.63
1969.0	Trefny	8.0	5.0
1969.0	Trefny	12.0	10.5
1969.0	Trefny	16.0	14.7
1969.0	Trefny	20.0	17.5
1969.0	Trefny	24.0	19.4
1969.0	Trefny	28.0	20.7
1969.0	Trefny	32.0	21.7
1969.0	Trefny	36.0	22.5
1969.0	Trefny	40.0	23.2
1969.0	Trefny	44.0	23.8
1969.0	Trefny	48.0	24.3
1969.0	Trefny	52.0	24.7
1969.0	Trefny	56.0	25.1
1969.0	Trefny	60.0	25.5
1969.0	Trefny	64.0	25.8
1969.0	Trefny	68.0	26.1
1969.0	Trefny	72.0	26.5
1969.0	Trefny	76.0	26.7
1969.0	Trefny	80.0	27.0
1969.0	Trefny	84.0	27.2
1969.0	Trefny	88.0	27.5
1969.0	Trefny	92.0	27.7
1969.0	Trefny	96.0	28.0
1969.0	Trefny	100.0	28.2
1969.0	Trefny	104.0	28.5
1969.0	Trefny	108.0	28.7
1969.0	Trefny	112.0	29.0
1969.0	Trefny	116.0	29.3
1969.0	Trefny	120.0	29.7
1969.0	Trefny	124.0	30.0
1969.0	Trefny	128.0	30.45
1969.0	Trefny	132.0	30.9
1969.0	Trefny	136.0	31.4
1969.0	Trefny	140.0	32.0
1969.0	Trefny	144.0	32.6
1969.0	Trefny	148.0	33.3
1969.0	Trefny	152.0	34.1
1969.0	Trefny	156.0	35.1
1969.0	Trefny	160.0	41.0
