Year	Author	Temperature	Change in Enthalpy	Pressure
1978.0	Chen	143	15.261	0.01170735177984934
1978.0	Chen	144	15.253	0.013013024930888824
1978.0	Chen	145	15.243	0.014458962933298647
1978.0	Chen	146	15.234	0.016060306194794496
1978.0	Chen	147	15.223	0.01783395020520566
1978.0	Chen	148	15.212	0.019798785649906826
1978.0	Chen	149	15.2	0.021975981704616374
1978.0	Chen	150	15.188	0.024389323540726884
1978.0	Chen	151	15.175	0.027065619126217723
1978.0	Chen	152	15.161	0.030035196546943425
1978.0	Chen	153	15.146	0.03333252273918742
1978.0	Chen	154	15.131	0.03699699047158735
1978.0	Chen	155	15.115	0.0410739482616103
1978.0	Chen	156	15.098	0.04561610008042444
1978.0	Chen	157	15.08	0.05068550858492071
1978.0	Chen	158	15.061	0.056356682159955616
1978.0	Chen	159	15.041	0.06272189778587808
1978.0	Chen	160	15.02	0.06990228391537748
1978.0	Chen	161	14.999	0.07808223296402678
