Year	Author	Temperature	Pressure
1962.0	Michels	161.554	560327.25
1962.0	Michels	162.439	2785424.25
1962.0	Michels	163.375	5149336.5
1962.0	Michels	164.171	7189008.75
1962.0	Michels	167.154	14926185.75
1962.0	Michels	171.455	26266479.75
1962.0	Michels	176.978	41126804.25
1962.0	Michels	184.004	60415031.25
1962.0	Michels	191.144	80460156.0
1962.0	Michels	197.868	99753449.25
1962.0	Michels	203.0	114720165.0
1962.0	Michels	207.205	127181113.5
1962.0	Michels	211.142	138968250.75
1962.0	Michels	215.264	151433252.25
1960.0	Stryland	165.2	12766950.0
1960.0	Stryland	168.0	18643800.0
1960.0	Stryland	171.4	27459075.0
1960.0	Stryland	175.1	37388925.0
1960.0	Stryland	179.4	49142625.0
1960.0	Stryland	183.9	61605600.0
1960.0	Stryland	187.3	71130150.0
1960.0	Stryland	196.8	98285250.0
1960.0	Stryland	207.4	129189375.0
1960.0	Stryland	215.6	154014000.0
1960.0	Stryland	218.5	163335900.0
1960.0	Stryland	225.7	185526075.0
1960.0	Stryland	232.8	207716250.0
1960.0	Stryland	233.0	208729500.0
1960.0	Stryland	237.0	221091150.0
1960.0	Stryland	243.9	243686625.0
1960.0	Stryland	252.8	272766900.0
1960.0	Stryland	261.2	302049825.0
1962.0	Lahr	224.0	194544000.0
1962.0	Lahr	245.0	248246250.00000003
1962.0	Lahr	250.0	283710000.0
1962.0	Lahr	277.0	354637500.0
1962.0	Lahr	288.0	395167500.0
1962.0	Lahr	291.0	415432499.99999994
1962.0	Lahr	322.5	506625000.0
1962.0	Lahr	363.0	686983500.0
1962.0	Lahr	363.0	653546250.0
1940.0	Clusius	164.34	7710832.499999999
1940.0	Clusius	164.31	7609507.499999999
1940.0	Clusius	164.04	6930630.000000001
1940.0	Clusius	163.6	5816055.0
1940.0	Clusius	163.13	4610287.5
1940.0	Clusius	162.72	3536242.5
1940.0	Clusius	162.39	2705377.5
1940.0	Clusius	162.02	1783320.0000000002
1940.0	Clusius	162.01	1732657.5000000002
1940.0	Clusius	161.64	790335.0
1940.0	Clusius	161.63	729540.0
1940.0	Clusius	161.36	81060.0
1977.0	Crawford	161.391	80000.0
1977.0	Crawford	170.0	22430000.0
1977.0	Crawford	180.0	49340000.0
1977.0	Crawford	190.0	77210000.0
1977.0	Crawford	200.0	105970000.0
1977.0	Crawford	220.0	165900000.0
1977.0	Crawford	240.0	228700000.0
1977.0	Crawford	260.0	294200000.0
1977.0	Crawford	280.0	362100000.0
