Year	Author	Temperature	Pressure	Molar Density	Enthalpy	Entropy	Gibbs Energy	Volume
1962.	Michels	161.554	560327.25	322044.22375802224	2.1176078281510537e6	-400.5849416409342	2.182323927812913e6	3.1051635962624206e-6
1962.	Michels	162.439	2.78542425e6	446587.2569734269	7.662631484771984e6	-1041.7290712306976	7.831848913373627e6	2.2392040623306514e-6
1962.	Michels	163.375	5.1493365e6	506113.99213541707	1.253238667284754e7	-1496.3710308481568	1.2776856290012358e7	1.975839466086995e-6
1962.	Michels	164.171	7.18900875e6	541661.4166330632	1.6368376642385632e7	-1819.9092828125063	1.6667152969254244e7	1.8461717399329336e-6
1962.	Michels	167.154	1.492618575e7	628316.8876203253	2.936461640094576e7	-2783.685921806134	2.982992063751934e7	1.5915535929447635e-6
1962.	Michels	171.455	2.626647975e7	704593.7624314362	4.614624196700506e7	-3845.8288500405065	4.680562855248876e7	1.4192575258531467e-6
1962.	Michels	176.978	4.112680425e7	771509.6393835001	6.6049256697712965e7	-4941.6920200052555	6.692382746802946e7	1.2961600853089569e-6
1962.	Michels	184.004	6.041503125e7	833832.4291340116	8.9836095724831e7	-6091.567848061688	9.095696857514574e7	1.1992817322283375e-6
1962.	Michels	191.144	8.0460156e7	883435.6478452696	1.1297553890606512e8	-7086.739143890247	1.1433012657298487e8	1.1319443611303607e-6
1962.	Michels	197.868	9.975344925e7	922523.4545024597	1.3417083439830148e8	-7914.701911370949	1.3573690063610062e8	1.0839832799040598e-6
1962.	Michels	203.	1.14720165e8	948843.9855736298	1.5004764573747233e8	-8491.119255721724	1.5177134294638386e8	1.0539140419332937e-6
1962.	Michels	207.205	1.271811135e8	968726.0754672067	1.6295165503709775e8	-8935.801977081594	1.6480319788575894e8	1.0322835580922196e-6
1962.	Michels	211.142	1.3896825075e8	986138.8431529659	1.7492733016904855e8	-9330.972212849672	1.7689749030401406e8	1.0140559891168226e-6
1962.	Michels	215.264	1.5143325225e8	1.0033045400528364e6	1.8737347805161455e8	-9725.284807951186	1.8946698176051337e8	9.9670634396545e-7
1960.	Stryland	165.2	1.276695e7	608752.0532125428	2.591298118169775e7	-2552.631037900459	2.6334675829158906e7	1.6427049317086326e-6
1960.	Stryland	168.	1.86438e7	657335.6814732681	3.508032169007731e7	-3169.455083025117	3.561279014402553e7	1.5212927400483235e-6
1960.	Stryland	171.4	2.7459075e7	710979.8998538341	4.7813353824725784e7	-3949.7708939465283	4.849034455594822e7	1.4065095232728574e-6
1960.	Stryland	175.1	3.7388925e7	756808.2505562337	6.120164575242576e7	-4694.949281163856	6.2023731371557556e7	1.321338660440114e-6
1960.	Stryland	179.4	4.9142625e7	799800.2736084588	7.615691803182684e7	-5456.903330143197	7.713588648925452e7	1.2503121504176287e-6
1960.	Stryland	183.9	6.16056e7	837145.1022691345	9.124758724003415e7	-6164.9551057794	9.238132248398697e7	1.1945360455307415e-6
1960.	Stryland	187.3	7.113015e7	861777.6766197477	1.0236697970612563e8	-6653.822269048935	1.036132406171185e8	1.1603920908260448e-6
1960.	Stryland	196.8	9.828525e7	919796.4702350026	1.3258636800973788e8	-7867.121261727454	1.3413461747404583e8	1.0871970401718393e-6
1960.	Stryland	207.4	1.29189375e8	971801.0350983277	1.6500489536672142e8	-9015.708630917139	1.668747533367736e8	1.0290172204836344e-6
1960.	Stryland	215.6	1.54014e8	1.0067353127080278e6	1.8992170254278257e8	-9816.382771325108	1.9203811466828027e8	9.933097482297404e-7
1960.	Stryland	218.5	1.633359e8	1.0186904498525325e6	1.9906518691517112e8	-10097.773947222948	2.0127155052263933e8	9.816524736682884e-7
1960.	Stryland	225.7	1.85526075e8	1.0450669618766365e6	2.2042884951523876e8	-10716.743964800886	2.2284761862809432e8	9.568764839760035e-7
1960.	Stryland	232.8	2.0771625e8	1.0690131625924325e6	2.4128868632653806e8	-11284.79266971505	2.4391578606004775e8	9.354421769465675e-7
1960.	Stryland	233.	2.087295e8	1.0700609834964422e6	2.4222954704614067e8	-11312.751213047472	2.4486541807878074e8	9.345261769403863e-7
1960.	Stryland	237.	2.2109115e8	1.082468023211245e6	2.5364574217977685e8	-11606.891127893065	2.563965753770875e8	9.238148181351393e-7
1960.	Stryland	243.9	2.43686625e8	1.1037817267312433e6	2.741902723838316e8	-12122.771460791515	2.7714701634311867e8	9.05976223180842e-7
1960.	Stryland	252.8	2.727669e8	1.128977929848718e6	3.0008427243675745e8	-12732.45663846569	3.033030374749615e8	8.857569076961488e-7
1960.	Stryland	261.2	3.02049825e8	1.1522636327597918e6	3.256062290185286e8	-13308.985565609653	3.290825360482658e8	8.67856948331256e-7
1962.	Lahr	224.	1.94544e8	1.0552369626665062e6	2.2893639337220046e8	-11070.397303725726	2.3141616236823505e8	9.476544467065232e-7
1962.	Lahr	245.	2.4824625000000003e8	1.1078983115339398e6	2.7828730569165176e8	-12229.850486458605	2.812836190608341e8	9.026099142758424e-7
1962.	Lahr	250.	2.8371e8	1.138118524438481e6	3.096422198182303e8	-13113.322169226625	3.129205503605369e8	8.786431101219223e-7
1962.	Lahr	277.	3.546375e8	1.1898257849705387e6	3.702570296244436e8	-14216.744691576167	3.741950679040102e8	8.404591769918325e-7
1962.	Lahr	288.	3.951675e8	1.2158481550434772e6	4.0376407392649233e8	-14869.316326363974	4.080464370284852e8	8.224711250758457e-7
1962.	Lahr	291.	4.1543249999999994e8	1.2281406881546965e6	4.2023942097818375e8	-15241.618494517363	4.246747319600883e8	8.142389627221927e-7
1962.	Lahr	322.5	5.06625e8	1.2775370103165808e6	4.926800553438826e8	-16283.493169568279	4.979314818910684e8	7.827561878244095e-7
1962.	Lahr	363.	6.869835e8	1.3576695259959693e6	6.287115232654964e8	-18400.982820324694	6.353910800292742e8	7.365562685561588e-7
1962.	Lahr	363.	6.5354625e8	1.343994424499891e6	6.041572723046085e8	-17854.961192247716	6.106386232173944e8	7.440507056955288e-7
1940.	Clusius	164.34	7.710832499999999e6	549435.3404471634	1.731229512244837e7	-1896.2931328629586	1.762393193590307e7	1.8200503796973453e-6
1940.	Clusius	164.31	7.609507499999999e6	547959.3366071263	1.7130042013043083e7	-1881.6197052430252	1.7439210946811564e7	1.8249529357266452e-6
1940.	Clusius	164.04	6.930630000000001e6	537646.1008662329	1.5895899646183595e7	-1781.5029485782034	1.6188137389868362e7	1.8599595503228646e-6
1940.	Clusius	163.6	5.816055e6	518810.60867274203	1.3815034852453655e7	-1607.4935994316793	1.4078020805320678e7	1.92748564366922e-6
1940.	Clusius	163.13	4.6102875e6	494852.22465698456	1.1470815164497316e7	-1402.326589250496	1.1699576701001748e7	2.0208053034280435e-6
1940.	Clusius	162.72	3.5362425e6	468837.0209903936	9.276424049925132e6	-1199.4269529561705	9.47159480371016e6	2.132937364646573e-6
1940.	Clusius	162.39	2.7053775e6	443942.53164533916	7.485740509430908e6	-1023.9916960079566	7.652026520945639e6	2.2525438062755588e-6
1940.	Clusius	162.02	1.7833200000000002e6	407787.8347601555	5.3606994868344935e6	-800.057780528403	5.490324848435705e6	2.4522555965607948e-6
1940.	Clusius	162.01	1.7326575000000002e6	405398.22041209467	5.23830038200536e6	-786.4643893500828	5.365715477723967e6	2.4667103841341035e-6
1940.	Clusius	161.64	790335.	345433.60163129744	2.791108678157872e6	-492.5935422796014	2.8707314983319463e6	2.8949123515417636e-6
1940.	Clusius	161.63	729540.	339841.28663191287	2.617422765808528e6	-469.4851698146331	2.693305653805667e6	2.9425500647986743e-6
1940.	Clusius	161.36	81060.	217472.97450741974	447130.5605259094	-118.8311415333441	466305.15352372976	4.598272508411762e-6
1977.	Crawford	161.391	80000.	216892.75988857768	442422.1385988614	-117.76375997139381	461428.14958440466	4.610573448895762e-6
1977.	Crawford	170.	2.243e7	682412.9387559069	4.0671873482948735e7	-3516.242474439174	4.1269634703603394e7	1.4653883934602408e-6
1977.	Crawford	180.	4.934e7	800425.7276062792	7.6402996134505e7	-5460.274304074335	7.738584550923838e7	1.249335154419086e-6
1977.	Crawford	190.	7.721e7	876123.86158607	1.093100627884995e8	-6935.9070569682635	1.1062788512932345e8	1.1413911249828007e-6
1977.	Crawford	200.	1.0597e8	933817.8129809877	1.40819332769469e8	-8160.47873105902	1.424514285156808e8	1.0708726971139496e-6
1977.	Crawford	220.	1.659e8	1.0218552297127391e6	2.0156553883459514e8	-10156.124211384737	2.037998861610998e8	9.786122054501956e-7
1977.	Crawford	240.	2.287e8	1.0898090976332924e6	2.6061272858510852e8	-11767.676161297864	2.6343697086381996e8	9.175918995094386e-7
1977.	Crawford	260.	2.942e8	1.1461698009624945e6	3.188219962620018e8	-13131.292537064985	3.222361323216387e8	8.724710764149007e-7
1977.	Crawford	280.	3.621e8	1.1947584756995605e6	3.764884430822027e8	-14315.531881283476	3.804967920089621e8	8.369892495757148e-7
