Year	Author	Temperature	Pressure
1970.0	Leming	158.71	67456.799018
1970.0	Leming	158.458	66211.971504
1970.0	Leming	158.17	64845.287681999995
1970.0	Leming	157.588	62114.586478000005
1970.0	Leming	156.972	59281.493978
1970.0	Leming	156.354	56576.390598
1970.0	Leming	155.706	53855.955188
1970.0	Leming	155.028	51119.387816
1970.0	Leming	154.709	49853.095460000004
1970.0	Leming	154.342	48472.812794
1970.0	Leming	154.058	47387.438392
1970.0	Leming	153.582	45684.78313
1970.0	Leming	153.341	44792.725628
1970.0	Leming	152.82	43012.876928000005
1970.0	Leming	152.579	42153.616638
1970.0	Leming	151.999	40275.376302000004
1970.0	Leming	151.727	39376.652700000006
1970.0	Leming	151.282	37987.170816
1970.0	Leming	151.114	37497.345788000006
1970.0	Leming	150.798	36507.429938
1970.0	Leming	150.607	35998.673186
1970.0	Leming	150.561	35816.821978
1970.0	Leming	149.831	33723.7999
1970.0	Leming	149.692	33376.362768
1970.0	Leming	149.645	33216.776334
1970.0	Leming	149.296	32223.26079
1970.0	Leming	148.949	31343.602234
1970.0	Leming	148.781	30892.973874000003
1970.0	Leming	148.684	30689.124536
1970.0	Leming	147.8	28417.984266
1970.0	Leming	147.35	27400.070796
1970.0	Leming	146.84	26181.241072
1970.0	Leming	146.271	24981.076428
1970.0	Leming	145.921	24169.012125999998
1970.0	Leming	145.211	22769.39777
1970.0	Leming	144.965	22225.044044000002
1970.0	Leming	144.088	20556.385892000002
1970.0	Leming	144.058	20499.190754
1970.0	Leming	143.018	18663.613458
1970.0	Leming	142.831	18482.562182
1970.0	Leming	142.115	17180.539530000002
1970.0	Leming	141.183	15755.860638
1970.0	Leming	139.419	13346.332132
1970.0	Leming	138.992	12811.444268
1970.0	Leming	138.418	12119.636410000001
1970.0	Leming	137.68	11272.641744
1970.0	Leming	137.31	10868.542762000001
1970.0	Leming	136.409	9934.088864
1970.0	Leming	136.4	9931.289102
1970.0	Leming	135.403	8974.970396
1970.0	Leming	135.198	8796.585560000001
1970.0	Leming	134.931	8550.073182
1970.0	Leming	134.006	7772.539278
1970.0	Leming	133.928	7717.610614
1970.0	Leming	132.972	6974.74043
1970.0	Leming	132.699	6785.42319
1970.0	Leming	132.088	6350.260182
1970.0	Leming	131.498	5965.092924
1970.0	Leming	131.117	5718.713868
1970.0	Leming	130.405	5295.416518
1970.0	Leming	130.088	5109.5656500000005
1970.0	Leming	129.326	4696.134128
1970.0	Leming	129.176	4621.473808000001
1970.0	Leming	128.24	4156.713316
1970.0	Leming	127.978	4038.8566680000004
1970.0	Leming	127.577	3854.33902
1970.0	Leming	127.543	3845.539768
1970.0	Leming	126.822	3537.4326260000003
1970.0	Leming	126.764	3515.301174
1970.0	Leming	126.538	3426.642044
1970.0	Leming	126.279	3318.917868
1970.0	Leming	125.686	3090.003994
1970.0	Leming	125.544	3043.607938
1970.0	Leming	124.53	2697.903992
1970.0	Leming	124.52	2688.838096
1970.0	Leming	123.585	2401.262542
1970.0	Leming	123.358	2342.067574
1970.0	Leming	122.613	2131.552136
1970.0	Leming	122.375	2076.49015
1970.0	Leming	121.671	1896.105484
1970.0	Leming	121.485	1858.50868
1970.0	Leming	120.64	1663.19195
1970.0	Leming	120.448	1630.1280940000001
1970.0	Leming	119.599	1461.609086
1970.0	Leming	118.619	1288.023842
1970.0	Leming	111.004	479.159268
1970.0	Leming	109.519	381.167598
1970.0	Leming	108.183	309.707006
1970.0	Leming	106.962	241.179498
1970.0	Leming	105.018	184.38432600000002
1970.0	Leming	103.316	137.854948
1970.0	Leming	101.672	102.257974
1970.0	Leming	97.826	48.929174
1970.0	Leming	95.935	32.797212
1970.0	Leming	94.136	21.598164
1970.0	Leming	93.106	17.598504000000002
1970.0	Leming	92.117	14.132132
1970.0	Leming	91.759	11.2390446
1970.0	Leming	89.851	6.959408400000001
1970.0	Leming	88.013	4.2796362
1970.0	Leming	86.253	2.733101
1970.0	Leming	85.963	2.3864638
1970.0	Leming	84.83	1.8131792
1970.0	Leming	83.646	1.4398776000000002
1970.0	Leming	83.02	1.199898
