Year	Author	Temperature	Pressure	Molar Density	Enthalpy	Entropy	Gibbs Energy	Volume
1970.	Leming	158.71	67456.799018	209658.41078809625	385451.79439622373	-106.36244277596239	402332.5776891967	4.76966316896635e-6
1970.	Leming	158.458	66211.971504	208881.73718263963	379694.7377604489	-105.15583577308753	396357.5211853808	4.787397948177879e-6
1970.	Leming	158.17	64845.287681999995	208015.84271470437	373349.45457939623	-103.82217533043217	389771.0080514106	4.807326148573737e-6
1970.	Leming	157.588	62114.586478000005	206240.8195246757	360594.1216250118	-101.11096671134513	376527.99664711935	4.84870067091813e-6
1970.	Leming	156.972	59281.493978	204331.70072996305	347246.80049792834	-98.2303080099416	362666.2084068649	4.894003213537393e-6
1970.	Leming	156.354	56576.390598	202439.95744416592	334386.9664647944	-95.4202725432638	349306.30775802396	4.939736268596112e-6
1970.	Leming	155.706	53855.955188	200463.27249783443	321334.3693790796	-92.52828414487207	335741.5783901411	4.988444953231035e-6
1970.	Leming	155.028	51119.387816	198392.59486357533	308076.07968808914	-89.54552460816718	321958.1432770441	5.040510714059917e-6
1970.	Leming	154.709	49853.095460000004	197404.06979898884	301895.6395070449	-88.136452504269	315531.14193752786	5.065751689001511e-6
1970.	Leming	154.342	48472.812794	196303.98004433748	295123.4991924409	-86.58647688895056	308487.42920843523	5.094140219541848e-6
1970.	Leming	154.058	47387.438392	195420.66966017385	289773.13659696677	-85.3470097882182	302921.52623092005	5.117165966829132e-6
1970.	Leming	153.582	45684.78313	194002.7584329893	281330.6755320858	-83.38423244435856	294136.9927193553	5.154565883893919e-6
1970.	Leming	153.341	44792.725628	193242.21797158057	276884.59405769594	-82.33445541688758	289509.8417857769	5.174852630531628e-6
1970.	Leming	152.82	43012.876928000005	191689.16226119874	267960.3647452659	-80.22293149244662	280220.0331359416	5.216779019762129e-6
1970.	Leming	152.579	42153.616638	190920.05028166843	263628.0688465491	-79.17991906668924	275709.26171782543	5.23779455601797e-6
1970.	Leming	151.999	40275.376302000004	189195.98973489073	254095.74584744277	-76.88213193630929	265781.75301962986	5.28552429362399e-6
1970.	Leming	151.727	39376.652700000006	188347.46046296644	249505.64275302572	-75.75760520855731	261000.1169185045	5.30933625301852e-6
1970.	Leming	151.282	37987.170816	187005.17715017594	242368.29140148513	-74.00082487279288	253563.28418989095	5.347445537280192e-6
1970.	Leming	151.114	37497.345788000006	186522.9859068165	239839.80142859067	-73.37780390600808	250928.21488804315	5.361269524709313e-6
1970.	Leming	150.798	36507.429938	185531.38787188602	234712.49517785117	-72.09262367354549	245583.91864257454	5.389923567491041e-6
1970.	Leming	150.607	35998.673186	185014.63612297867	232065.2253325889	-71.43763234311825	242824.2328268889	5.404977795028621e-6
1970.	Leming	150.561	35816.821978	184827.35602317483	231118.8602264281	-71.19169585672978	241837.5531463132	5.410454499357842e-6
1970.	Leming	149.831	33723.7999	182624.22762210836	220146.13812221182	-68.40229313576127	230394.9221050361	5.475724732806156e-6
1970.	Leming	149.692	33376.362768	182248.6556441242	218311.2959693902	-67.93766014350909	228481.02019159237	5.487008924514064e-6
1970.	Leming	149.645	33216.776334	182074.2175781622	217468.471796635	-67.71552206156105	227601.7610955373	5.492265809521946e-6
1970.	Leming	149.296	32223.26079	180975.4496978505	212200.28474541972	-66.34449726368234	222105.25280889843	5.5256113559577316e-6
1970.	Leming	148.949	31343.602234	179981.15295703884	207507.84286025085	-65.12696936508291	217208.43982021062	5.556137315326e-6
1970.	Leming	148.781	30892.973874000003	179462.41216202074	205095.16462566986	-64.49093782562444	214690.19084630412	5.572197475520325e-6
1970.	Leming	148.684	30689.124536	179226.78574785055	204000.18823038755	-64.21085080062859	213547.3143708282	5.5795231489944466e-6
1970.	Leming	147.8	28417.984266	176500.46491281432	191719.4604440267	-60.922286770961	200723.77442877478	5.665707455750717e-6
1970.	Leming	147.35	27400.070796	175222.9613222823	186152.85765971406	-59.42158503037739	194908.6282139402	5.707014608437819e-6
1970.	Leming	146.84	26181.241072	173639.47214625112	179438.2688603542	-57.56757453289913	187891.49150476512	5.7590592026087885e-6
1970.	Leming	146.271	24981.076428	172023.42261973835	172765.07243240264	-55.719937865257144	180915.28346389165	5.8131618634895e-6
1970.	Leming	145.921	24169.012125999998	170891.5118512397	168218.13024833243	-54.424567545700455	176159.8175691686	5.851665709824696e-6
1970.	Leming	145.211	22769.39777	168870.7090651709	160307.1124541026	-52.17493279713826	167883.48662050787	5.921690064166653e-6
