Year	Author	Temperature	Pressure	Molar Density	Enthalpy	Entropy	Gibbs Energy	Volume
1970	Leming	158.71	0.067456799	209658.4108	385451.7944	-106.3624428	402332.5777	4.77E-06
1970	Leming	158.458	0.066211972	208881.7372	379694.7378	-105.1558358	396357.5212	4.79E-06
1970	Leming	158.17	0.064845288	208015.8427	373349.4546	-103.8221753	389771.0081	4.81E-06
1970	Leming	157.588	0.062114586	206240.8195	360594.1216	-101.1109667	376527.9966	4.85E-06
1970	Leming	156.972	0.059281494	204331.7007	347246.8005	-98.23030801	362666.2084	4.89E-06
1970	Leming	156.354	0.056576391	202439.9574	334386.9665	-95.42027254	349306.3078	4.94E-06
1970	Leming	155.706	0.053855955	200463.2725	321334.3694	-92.52828414	335741.5784	4.99E-06
1970	Leming	155.028	0.051119388	198392.5949	308076.0797	-89.54552461	321958.1433	5.04E-06
1970	Leming	154.709	0.049853095	197404.0698	301895.6395	-88.1364525	315531.1419	5.07E-06
1970	Leming	154.342	0.048472813	196303.98	295123.4992	-86.58647689	308487.4292	5.09E-06
1970	Leming	154.058	0.047387438	195420.6697	289773.1366	-85.34700979	302921.5262	5.12E-06
1970	Leming	153.582	0.045684783	194002.7584	281330.6755	-83.38423244	294136.9927	5.15E-06
1970	Leming	153.341	0.044792726	193242.218	276884.5941	-82.33445542	289509.8418	5.17E-06
1970	Leming	152.82	0.043012877	191689.1623	267960.3647	-80.22293149	280220.0331	5.22E-06
1970	Leming	152.579	0.042153617	190920.0503	263628.0688	-79.17991907	275709.2617	5.24E-06
1970	Leming	151.999	0.040275376	189195.9897	254095.7458	-76.88213194	265781.753	5.29E-06
1970	Leming	151.727	0.039376653	188347.4605	249505.6428	-75.75760521	261000.1169	5.31E-06
1970	Leming	151.282	0.037987171	187005.1772	242368.2914	-74.00082487	253563.2842	5.35E-06
1970	Leming	151.114	0.037497346	186522.9859	239839.8014	-73.37780391	250928.2149	5.36E-06
1970	Leming	150.798	0.03650743	185531.3879	234712.4952	-72.09262367	245583.9186	5.39E-06
1970	Leming	150.607	0.035998673	185014.6361	232065.2253	-71.43763234	242824.2328	5.40E-06
1970	Leming	150.561	0.035816822	184827.356	231118.8602	-71.19169586	241837.5531	5.41E-06
1970	Leming	149.831	0.0337238	182624.2276	220146.1381	-68.40229314	230394.9221	5.48E-06
1970	Leming	149.692	0.033376363	182248.6556	218311.296	-67.93766014	228481.0202	5.49E-06
1970	Leming	149.645	0.033216776	182074.2176	217468.4718	-67.71552206	227601.7611	5.49E-06
1970	Leming	149.296	0.032223261	180975.4497	212200.2847	-66.34449726	222105.2528	5.53E-06
1970	Leming	148.949	0.031343602	179981.153	207507.8429	-65.12696937	217208.4398	5.56E-06
1970	Leming	148.781	0.030892974	179462.4122	205095.1646	-64.49093783	214690.1908	5.57E-06
1970	Leming	148.684	0.030689125	179226.7857	204000.1882	-64.2108508	213547.3144	5.58E-06
1970	Leming	147.8	0.028417984	176500.4649	191719.4604	-60.92228677	200723.7744	5.67E-06
1970	Leming	147.35	0.027400071	175222.9613	186152.8577	-59.42158503	194908.6282	5.71E-06
1970	Leming	146.84	0.026181241	173639.4721	179438.2689	-57.56757453	187891.4915	5.76E-06
1970	Leming	146.271	0.024981076	172023.4226	172765.0724	-55.71993787	180915.2835	5.81E-06
1970	Leming	145.921	0.024169012	170891.5119	168218.1302	-54.42456755	176159.8176	5.85E-06
1970	Leming	145.211	0.022769398	168870.7091	160307.1125	-52.1749328	167883.4866	5.92E-06
1970	Leming	144.965	0.022225044	168055.4501	157207.8443	-51.26509583	164639.4889	5.95E-06
1970	Leming	144.088	0.020556386	165456.1211	147609.934	-48.44164153	154589.7933	6.04E-06
1970	Leming	144.058	0.020499191	165363.9815	147278.4479	-48.34244362	154242.5636	6.05E-06
1970	Leming	143.018	0.018663613	162292.007	136540.9562	-45.09736202	142990.6907	6.16E-06
1970	Leming	142.831	0.018482562	161980.2028	135466.786	-44.80006473	141865.6241	6.17E-06
1970	Leming	142.115	0.01718054	159625.428	127718.3367	-42.35665544	133737.8528	6.26E-06
1970	Leming	141.183	0.015755861	156881.6753	119105.5407	-39.61031026	124697.8431	6.37E-06
1970	Leming	139.419	0.013346332	151744.5197	104188.7505	-34.66872071	109022.2289	6.59E-06
1970	Leming	138.992	0.012811444	150502.6692	100810.4741	-33.51166237	105468.3271	6.64E-06
1970	Leming	138.418	0.012119636	148832.2139	96401.09075	-31.97769329	100827.3791	6.72E-06
1970	Leming	137.68	0.011272642	146677.565	90937.0011	-30.03614776	95072.37792	6.82E-06
1970	Leming	137.31	0.010868543	145602.8024	88302.81681	-29.08394137	92296.33279	6.87E-06
1970	Leming	136.409	0.009934089	142986.6089	82138.67139	-26.80920826	85795.68868	6.99E-06
1970	Leming	136.4	0.009931289	142978.8324	82119.75719	-26.80431895	85775.8663	6.99E-06
1970	Leming	135.403	0.00897497	140083.5839	75696.14124	-24.3569104	78994.13998	7.14E-06
1970	Leming	135.198	0.008796586	139516.4026	74483.51422	-23.88856086	77713.19987	7.17E-06
1970	Leming	134.931	0.008550073	138715.6311	72801.05105	-23.22581692	75934.93375	7.21E-06
1970	Leming	134.006	0.007772539	136061.9427	67430.91833	-21.07886284	70255.61242	7.35E-06
1970	Leming	133.928	0.007717611	135866.9668	67047.39261	-20.92608718	69849.98162	7.36E-06
1970	Leming	132.972	0.00697474	133102.9061	61814.11522	-18.75339901	64307.7922	7.51E-06
1970	Leming	132.699	0.006785423	132361.0638	60463.32798	-18.18492497	62876.44934	7.56E-06
1970	Leming	132.088	0.00635026	130586.8314	57332.73847	-16.8318568	59556.02477	7.66E-06
1970	Leming	131.498	0.005965093	128932.4754	54527.27255	-15.59715949	56578.26783	7.76E-06
1970	Leming	131.117	0.005718714	127826.8966	52715.44678	-14.78013248	54653.37341	7.82E-06
1970	Leming	130.405	0.005295417	125834.2384	49566.9131	-13.33658105	51306.06995	7.95E-06
1970	Leming	130.088	0.005109566	124917.1398	48170.20715	-12.67916828	49819.61479	8.01E-06
1970	Leming	129.326	0.004696134	122775.7898	45027.62294	-11.17252396	46472.52077	8.14E-06
1970	Leming	129.176	0.004621474	122373.1296	44454.47589	-10.89435932	45861.76565	8.17E-06
1970	Leming	128.24	0.004156713	119735.9567	40848.14494	-9.088135099	42013.60738	8.35E-06
1970	Leming	127.978	0.004038857	119029.5624	39921.58775	-8.614704172	41024.08036	8.40E-06
1970	Leming	127.577	0.003854339	117887.3359	38461.60961	-7.850542678	39463.1583	8.48E-06
1970	Leming	127.543	0.00384554	117832.7231	38391.14339	-7.817677634	39388.23345	8.49E-06
1970	Leming	126.822	0.003537433	115817.9455	35922.44296	-6.493324348	36745.93934	8.63E-06
1970	Leming	126.764	0.003515301	115668.024	35743.47446	-6.396761812	36554.35357	8.65E-06
1970	Leming	126.538	0.003426642	115058.8919	35024.75854	-6.003565064	35784.43765	8.69E-06
1970	Leming	126.279	0.003318918	114299.532	34147.65096	-5.511237484	34843.60452	8.75E-06
1970	Leming	125.686	0.003090004	112617.2256	32265.52592	-4.436751039	32823.16341	8.88E-06
1970	Leming	125.544	0.003043608	112265.0248	31880.40044	-4.217837389	32409.92462	8.91E-06
1970	Leming	124.53	0.002697904	109483.9939	28979.13916	-2.488543507	29289.03748	9.13E-06
1970	Leming	124.52	0.002688838	109405.8889	28902.78694	-2.436481783	29206.17765	9.14E-06
1970	Leming	123.585	0.002401263	106851.2007	26436.08143	-0.884738207	26545.4218	9.36E-06
1970	Leming	123.358	0.002342068	106295.927	25921.13943	-0.55679295	25989.82429	9.41E-06
1970	Leming	122.613	0.002131552	104214.4768	24073.73619	0.682797367	23990.01635	9.60E-06
1970	Leming	122.375	0.00207649	103644.6059	23584.20914	1.011549161	23460.42081	9.65E-06
1970	Leming	121.671	0.001896105	101676.7499	21967.56615	2.161286392	21704.60028	9.84E-06
1970	Leming	121.485	0.001858509	101249.7195	21626.25124	2.401704455	21334.48017	9.88E-06
1970	Leming	120.64	0.001663192	98894.5325	19838.33327	3.752883781	19385.58537	1.01E-05
1970	Leming	120.448	0.001630128	98476.67106	19530.88284	3.981766592	19051.28702	1.02E-05
1970	Leming	119.599	0.001461609	96215.44531	17952.08163	5.249056655	17324.2997	1.04E-05
1970	Leming	118.619	0.001288024	93647.98045	16292.495	6.664705611	15501.93429	1.07E-05
1970	Leming	111.004	0.000479159	75344.71684	7920.208516	16.21324503	6120.473465	1.33E-05
1970	Leming	109.519	0.000381168	71476.09694	6804.643402	18.19431326	4812.020408	1.40E-05
1970	Leming	108.183	0.000309707	68069.941	5968.963499	19.92102008	3813.847783	1.47E-05
1970	Leming	106.962	0.000241179	64019.09906	5158.081368	22.02043928	2802.731142	1.56E-05
1970	Leming	105.018	0.000184384	59878.98203	4454.949409	24.02778829	1931.599139	1.67E-05
1970	Leming	103.316	0.000137855	55405.38345	3878.651398	26.23437223	1168.220997	1.80E-05
1970	Leming	101.672	0.000102258	50809.47585	3439.723371	28.48145777	543.9565966	1.97E-05
1970	Leming	97.826	4.89292E-05	39148.59239	2827.614876	34.0987338	-508.1278572	2.55E-05
1970	Leming	95.935	3.27972E-05	32508.14379	2694.412023	37.35429929	-889.1726792	3.08E-05
1970	Leming	94.136	2.15982E-05	25382.81302	2661.377144	41.06391573	-1204.215627	3.94E-05
1978	Chen	161.332	0.081307755	217608.6863	448227.3083	-119.092328	467440.7118	4.60E-06
1978	Chen	161.279	0.081001114	217444.7614	446861.2592	-118.8219137	466024.7386	4.60E-06
1978	Chen	161.245	0.080803798	217339.0093	445981.727	-118.6475299	465113.0479	4.60E-06
1978	Chen	161.162	0.080326505	217082.3742	443852.4462	-118.2251397	462905.8462	4.61E-06
1978	Chen	161.067	0.079781218	216787.6762	441416.8709	-117.7408915	460381.0431	4.61E-06
1978	Chen	161.043	0.07964523	216713.943	440808.9441	-117.6200108	459750.8235	4.61E-06
1978	Chen	160.963	0.079186602	216464.4779	438757.3157	-117.2108814	457623.9308	4.62E-06
1978	Chen	160.857	0.078586653	216136.4385	436069.958	-116.6744071	454837.8531	4.63E-06
1978	Chen	160.842	0.078499994	216088.8735	435681.4925	-116.5965337	454435.1122	4.63E-06
1978	Chen	160.727	0.077853382	215732.7642	432780.0686	-116.0157364	451426.9299	4.64E-06
1978	Chen	160.659	0.077478747	215525.411	431096.8141	-115.6787646	449681.6488	4.64E-06
1978	Chen	160.623	0.077277431	215413.6261	430191.7033	-115.4969724	448743.1735	4.64E-06
1978	Chen	160.484	0.076508163	214984.3632	426728.8278	-114.8006139	445152.4895	4.65E-06
1978	Chen	160.337	0.075702898	214531.3317	423096.6817	-114.0681751	441386.0306	4.66E-06
1978	Chen	160.321	0.075613572	214480.8242	422693.3565	-113.9864677	440967.781	4.66E-06
1978	Chen	160.163	0.074752312	213991.5277	418799.5683	-113.197974	436929.6954	4.67E-06
1978	Chen	160.007	0.07391105	213509.2528	414987.8104	-112.4236502	432976.3814	4.68E-06
1978	Chen	159.844	0.073039124	213004.7557	411028.2944	-111.6164386	428869.5124	4.69E-06
1978	Chen	159.691	0.072236526	212536.1895	407375.3972	-110.8701617	425080.3641	4.71E-06
1978	Chen	159.68	0.072177864	212501.7687	407108.1241	-110.8153209	424803.1146	4.71E-06
1978	Chen	159.495	0.071216613	211934.7143	402722.1544	-109.9157206	420253.1622	4.72E-06
1978	Chen	159.428	0.07085931	211722.2749	401089.1714	-109.5785079	418559.0537	4.72E-06
1978	Chen	159.316	0.070290025	211382.2508	398483.6526	-109.0422213	415855.8231	4.73E-06
1978	Chen	159.312	0.07026336	211366.2112	398361.6309	-109.0163218	415729.2391	4.73E-06
1978	Chen	158.522	0.066301031	208935.5095	380111.4191	-105.2165661	396790.5596	4.79E-06
1978	Chen	158.382	0.065622422	208507.7123	376964.9366	-104.5553075	393524.6153	4.80E-06
1978	Chen	157.81	0.06289732	206753.3411	364265.8317	-101.8643918	380341.0514	4.84E-06
1978	Chen	157.596	0.061905404	206099.7423	359617.2837	-100.871291	375514.1957	4.85E-06
1978	Chen	157.113	0.059701592	204617.0139	349237.7324	-98.6352417	364734.6111	4.89E-06
1978	Chen	157.056	0.059452279	204446.6095	348058.7985	-98.38055992	363510.0557	4.89E-06
1978	Chen	156.642	0.057624435	203179.0728	339386.8875	-96.4917885	354501.5542	4.92E-06
1978	Chen	156.123	0.055401957	201593.9307	328770.9946	-94.1559106	343470.8978	4.96E-06
1978	Chen	155.548	0.053023493	199840.2586	317318.9025	-91.60505291	331567.8852	5.00E-06
1978	Chen	154.994	0.050817014	198156.3188	306606.3246	-89.18894745	320430.0763	5.05E-06
1978	Chen	154.616	0.049351805	197005.4711	299443.4847	-87.55568281	312980.9942	5.08E-06
1978	Chen	154.192	0.047751941	195717.2398	291575.5473	-85.74534223	304796.7931	5.11E-06
1978	Chen	153.701	0.045950761	194224.8662	282656.8152	-83.67109175	295517.1457	5.15E-06
1978	Chen	153.192	0.044145581	192681.4554	273650.7242	-81.55236057	286143.8934	5.19E-06
1978	Chen	152.645	0.042272407	191025.5152	264230.4351	-79.30873585	276336.5171	5.23E-06
1978	Chen	152.143	0.040609881	189505.7452	255802.4214	-77.27609854	267559.4388	5.28E-06
1978	Chen	151.67	0.039099343	188081.1068	248087.3335	-75.39463155	259522.4373	5.32E-06
1978	Chen	151.202	0.0376488	186670.8208	240624.8626	-73.55378932	251746.3427	5.36E-06
1978	Chen	150.764	0.036326245	185346.3261	233772.9295	-71.84396801	244604.4135	5.40E-06
1978	Chen	150.296	0.034962361	183939.3379	226656.5506	-70.0495168	237184.7127	5.44E-06
1978	Chen	149.827	0.033639807	182532.2261	219704.9337	-68.27659523	229934.6111	5.48E-06
1978	Chen	149.44	0.032578564	181370.5626	214089.0613	-66.82885327	224075.9651	5.51E-06
1978	Chen	148.983	0.031364001	180003.1441	207618.6774	-65.14371245	217323.9831	5.56E-06
1978	Chen	148.464	0.030030781	178452.1503	200460.7742	-63.25665018	209852.1095	5.60E-06
1978	Chen	147.978	0.02882555	177001.56	193937.6713	-61.51500946	203040.5394	5.65E-06
1978	Chen	147.679	0.028105611	176111.6015	190016.3217	-60.45777073	198944.6648	5.68E-06
1978	Chen	147.256	0.027109695	174849.6153	184560.0735	-58.97245984	193244.1221	5.72E-06
