Year	Author	Temperature	Pressure
1967	Levenson	47.16536176	1.00311E-08
1967	Levenson	48.81859012	3.67675E-08
2018	Shakeel	50.01	0.000000485
2018	Shakeel	50.012	0.000000467
1967	Levenson	50.72794603	9.55825E-08
2018	Shakeel	51.016	0.000001113
2018	Shakeel	51.02	0.000001049
1967	Levenson	51.70363477	1.53288E-07
2018	Shakeel	52.024	0.000002544
1967	Levenson	52.1975154	3.98498E-07
2018	Shakeel	52.52	0.000002776
2018	Shakeel	52.524	0.000003083
2018	Shakeel	53.018	0.000004226
2018	Shakeel	53.021	0.000004645
2018	Shakeel	53.515	0.000005796
2018	Shakeel	53.517	0.000005947
1974	Bryson	53.7	5.97283E-06
1974	Bryson	53.9	6.30613E-06
2018	Shakeel	54.016	0.000008078
2018	Shakeel	54.019	0.000008286
1967	Levenson	54.0891389	8.35805E-07
2018	Shakeel	54.519	0.000011261
2018	Shakeel	54.521	0.000011502
2018	Shakeel	55.019	0.000015278
2018	Shakeel	55.022	0.000015441
2018	Shakeel	55.521	0.000021126
2018	Shakeel	56.023	0.000029071
2018	Shakeel	56.025	0.000029729
1967	Levenson	56.48760097	4.22734E-06
2018	Shakeel	56.524	0.000039385
2018	Shakeel	56.53	0.000040238
1974	Bryson	56.7	2.37313E-05
2018	Shakeel	57.027	0.000054156
2018	Shakeel	57.029	0.000053203
1974	Bryson	57.1	3.11973E-05
1974	Bryson	58.3	7.0794E-05
1974	Bryson	59.3	0.000122523
1974	Bryson	59.5	0.000137322
1961	Podgurski	70	0.018373316
1970	Leming	70.075	0.05066236
1961	Podgurski	71	0.027030842
1970	Leming	71.372	0.06266134
1961	Podgurski	72	0.039343595
1970	Leming	72.522	0.0799932
1961	Podgurski	73	0.056679025
1961	Podgurski	74	0.080851039
1970	Leming	74.054	0.10799082
1961	Podgurski	75	0.114244461
1961	Podgurski	76	0.159968105
1970	Leming	76.034	0.1866508
1970	Leming	76.474	0.2133152
1961	Podgurski	77	0.222041569
1951	Liang	77.3	0.25864468
1961	Podgurski	78	0.305621478
1970	Leming	78.082	0.3066406
