Year	Author	Temperature	Thermal Expansion Coefficient
1972.0	Tilford	1.0	1.51e-07
1972.0	Tilford	1.5	5.29e-07
1972.0	Tilford	2.0	1.289e-06
1972.0	Tilford	2.5	2.644e-06
1972.0	Tilford	3.0	4.8e-06
1972.0	Tilford	3.5	8.06e-06
1972.0	Tilford	4.0	1.278e-05
1972.0	Tilford	4.5	1.877e-05
1972.0	Tilford	5.0	2.64e-05
1972.0	Tilford	5.5	3.555e-05
1972.0	Tilford	6.0	4.614e-05
1972.0	Tilford	6.5	5.8e-05
1972.0	Tilford	7.0	7.09e-05
1972.0	Tilford	7.5	8.44e-05
1972.0	Tilford	8.0	9.86e-05
1972.0	Tilford	8.5	0.0001134
1972.0	Tilford	9.0	0.0001281
1972.0	Tilford	9.5	0.0001428
1972.0	Tilford	10.0	0.0001577
1972.0	Tilford	10.5	0.0001724
1972.0	Tilford	11.0	0.0001866
1972.0	Tilford	12.0	0.0002139
1972.0	Tilford	13.0	0.0002395
1972.0	Tilford	14.0	0.0002636
1972.0	Tilford	15.0	0.000286
1972.0	Tilford	16.0	0.0003069
1972.0	Tilford	18.0	0.0003438
1972.0	Tilford	20.0	0.0003738
1972.0	Tilford	25.0	0.0004341
1972.0	Tilford	30.0	0.0004749
1972.0	Tilford	35.0	0.000508
1972.0	Tilford	40.0	0.000534
1972.0	Tilford	45.0	0.000557
1972.0	Tilford	50.0	0.000577
1972.0	Tilford	55.0	0.000596
1972.0	Tilford	60.0	0.000615
1972.0	Tilford	65.0	0.000633
1972.0	Tilford	70.0	0.00065
1972.0	Tilford	75.0	0.000666
1972.0	Tilford	80.0	0.000683
1972.0	Tilford	85.0	0.000701
1972.0	Tilford	90.0	0.00072
1972.0	Tilford	95.0	0.00074
1972.0	Tilford	100.0	0.000761
1972.0	Tilford	105.0	0.000784
1963.0	Packard	20.0	0.00028
1963.0	Packard	50.0	0.00062
1963.0	Packard	75.0	0.00077
1963.0	Packard	100.0	0.0007
1963.0	Packard	125.0	0.00084
1963.0	Packard	150.0	0.00103
1963.0	Packard	20.0	0.000282
1963.0	Packard	50.0	0.000627
1963.0	Packard	75.0	0.00077
1963.0	Packard	100.0	0.0007
1963.0	Packard	125.0	0.00084
1963.0	Packard	150.0	0.00103
1967.0	Manzhelli	11.0	0.00017
1967.0	Manzhelli	15.0	0.000265
1967.0	Manzhelli	21.5	0.000346
1967.0	Manzhelli	25.0	0.00038
1967.0	Manzhelli	30.0	0.000421
1967.0	Manzhelli	35.0	0.000458
1967.0	Manzhelli	40.0	0.000491
1967.0	Manzhelli	45.0	0.000522
1967.0	Manzhelli	50.0	0.00055
1967.0	Manzhelli	55.0	0.000575
1967.0	Manzhelli	60.0	0.0006
1967.0	Manzhelli	65.0	0.000622
1967.0	Manzhelli	70.0	0.000644
1967.0	Manzhelli	75.0	0.000665
1967.0	Manzhelli	80.0	0.000683
1967.0	Manzhelli	85.0	0.000702
1967.0	Manzhelli	90.0	0.000719
1967.0	Manzhelli	100.0	0.00075
1967.0	Manzhelli	120.0	0.000812
1967.0	Manzhelli	140.0	0.000934
1967.0	Manzhelli	160.0	0.00114
