Property,Author,Year,T_range,N,RMS_%,AAD_%
BetaS_sub,Manzhelli,1967.0,11--140,20,5.64,4.89
BetaS_sub,Gornal,1970.0,151--156,2,4.93,4.86
BetaS_sub,Klein,1970.0,20--160,5,16.67,13.30
BetaS_sub,Shirane,1974.0,10--159.6,4,7.11,6.85
BetaS_sub,Rand,1977.0,156--159.6,2,7.16,6.67
BetaT_sub,Packard,1963.0,20--150,6,7.67,6.63
BetaT_sub,Manzhelli,1967.0,11--140,20,5.75,5.11
BetaT_sub,Urvas,1967.0,20--142,5,9.29,8.10
BetaT_sub,Korpiun,1974.0,65.5--77,2,5.65,5.65
BetaT_sub,Anderson,1975.0,20--159,9,5.22,4.80
BetaT_sub,Schlosser,1990.0,159--161.36,2,5.86,5.81
H_solid_melt,Lahr,0.0,292--406,5,30.69,29.00
H_solid_sub,Pollack,0.0,161.391,1,265.72,265.72
H_solid_sub,Shakeel,0.0,53.5,1,116.85,116.85
Vm_melt,Lahr,1962.0,161.4--363,10,1.43,0.92
Vm_melt,Gavrilko,1965.0,120--159,3,0.24,0.24
Vm_melt,Granfors,1981.0,161.67--216.01,37,0.05,0.03
Vm_sub,Simon,1930.0,100,1,2.47,2.47
Vm_sub,Natta,1932.0,88,1,1.33,1.33
Vm_sub,Clusius,1940.0,161.36,1,3.78,3.78
Vm_sub,Cheesman,1957.0,58--88.9,3,0.48,0.42
Vm_sub,Eatwell,1961.0,20--120,6,0.40,0.39
Vm_sub,Sears,1962.0,5--75,15,0.41,0.40
Vm_sub,Packard,1963.0,20--160,16,0.61,0.54
Vm_sub,Yen,1963.0,125--160,8,0.63,0.57
Vm_sub,Curzon,1965.0,7,1,0.47,0.47
Vm_sub,Klein,1969.0,10.474--129.716,13,0.68,0.67
Vm_sub,Tilford,1972.0,20--100,6,0.41,0.40
Vm_sub,Granfors,1981.0,78.17--160.75,35,0.18,0.17
Vm_sub,Peek,1991.0,153.4,1,0.09,0.09
Vm_sub,Herrero,2003.0,5.275--160.879,19,0.46,0.45
alpha_sub,Packard,1963.0,20--150,12,18.30,11.61
alpha_sub,Manzhelli,1967.0,11--160,21,10.95,8.21
alpha_sub,Tilford,1972.0,4.5--105,38,3.69,2.86
cp_sub,Packard,1963.0,20--150,6,3.62,3.31
cp_sub,Fenichel,1966.0,5--24,20,9.70,8.01
cp_sub,Manzhelli,1967.0,11--140,20,4.40,3.26
cp_sub,Trefny,1969.0,8--160,39,5.42,4.74
cp_sub,Bodryakov,2015.0,5--160,47,6.92,5.33
pmelt,Clusius,1940.0,161.36--164.34,12,100.00,100.00
pmelt,Stryland,1960.0,165.2--261.2,18,100.00,100.00
pmelt,Lahr,1962.0,224--363,9,100.00,100.00
pmelt,Michels,1962.0,161.554--215.264,14,100.00,100.00
pmelt,Crawford,1977.0,161.391--280,9,100.00,100.00
psub,Allen,1931.0,154.05--161.45,20,15.47,12.12
psub,Stull,1947.0,104.65--165.15,10,32.13,31.24
psub,Freeman,1956.0,110--161.405,53,38.70,36.34
psub,Heastie,1960.0,125.26--161.38,11,30.84,26.58
psub,Leming,1970.0,94.136--158.71,95,37.40,36.03
psub,Chen,1978.0,142.826--161.332,61,21.28,17.12
psub,Staveley,1981.0,161.39,1,0.06,0.06
psub,Tessier,1982.0,101.21--119.93,12,39.21,38.98
psub,Lide,2006.0,110--161.4,8,30.04,25.80
