Property,Author,Year,T_range,N,RMS_%,AAD_%
BetaS_sub,Beaumont,1961.0,5--50,8,11.71,10.86
BetaS_sub,Petert,1973.0,77,1,29.67,29.67
BetaS_sub,Skalyo,1974.0,10--115,3,26.65,25.72
BetaS_sub,Landheer,1975.0,10--115.6,4,24.60,22.49
BetaS_sub,Rand,1977.0,114--115.6,2,13.44,13.04
BetaT_sub,Urvas,1967.0,10--101,9,19.32,17.48
BetaT_sub,Losee,1968.0,4--115,25,24.02,22.72
BetaT_sub,Korpiun,1971.0,5--115,23,22.53,19.76
BetaT_sub,Anderson,1975.0,4--110,8,20.33,20.25
BetaT_sub,Macrander,1978.0,81.69--113.99,9,15.13,15.02
Vm_melt,Lahr,1962.0,116.1--362,8,4.32,4.07
Vm_melt,Macrander,1978.0,127.34--138.94,3,3.99,3.99
Vm_sub,Keeson,1930.0,20,1,3.90,3.90
Vm_sub,Natta,1930.0,78,1,0.88,0.88
Vm_sub,Simon,1932.0,82--92,3,7.49,7.47
Vm_sub,Cheesman,1957.0,58--68,2,1.79,1.79
Vm_sub,Figgins,1960.0,20--90,5,2.09,1.83
Vm_sub,Beaumont,1961.0,5--50,8,0.79,0.70
Vm_sub,Curzon,1965.0,7,1,0.48,0.48
Vm_sub,Losee,1968.0,4--115.78,26,2.44,2.03
Vm_sub,Korpiun,1971.0,85--115,7,3.58,3.57
Vm_sub,Macrander,1980.0,95--115,5,3.84,3.84
Vm_sub,Peek,1991.0,114.7,1,4.67,4.67
Vm_sub,Jephcoat,1998.0,4,1,0.43,0.43
Vm_sub,Herrero,2003.0,1.348--109.88,13,1.97,1.60
alpha_sub,Manzhelli,1967.0,12--69,13,46.01,41.91
alpha_sub,Losee,1968.0,4--115,25,39.73,36.57
alpha_sub,Korpiun,1971.0,4--115,25,39.11,34.88
alpha_sub,Tilford,1972.0,1--45,33,26.29,20.80
cp_sub,Clusius,1936.0,10.53--112.5,37,26.66,21.65
cp_sub,Losee,1968.0,4--115,25,27.88,21.09
cp_sub,Finegold,1969.0,0.36--12.279,85,51.55,51.30
pmelt,Stryland,1960.0,125.9--192.6,14,2.25,1.72
pmelt,Lahr,1962.0,169--362,7,3.75,2.80
pmelt,Michels,1962.0,127.739--157.033,8,0.85,0.81
pmelt,Crawford,1971.0,138.27--291.695,23,0.65,0.40
pmelt,Crawford,1977.0,130--300,8,0.90,0.62
psub,Allen,1931.0,114.15--115.75,5,2.54,2.27
psub,Keesom,1935.0,78.66--115.94,20,4.35,3.88
psub,Stull,1947.0,73.85--121.15,10,15.21,13.73
psub,Liang,1951.0,77.3,1,3.85,3.85
psub,Freeman,1956.0,87.2--115.76,30,5.77,5.38
psub,Fisher,1958.0,72--80,9,6.38,5.63
psub,Heastie,1959.0,115.8,1,0.40,0.40
psub,Beaumont,1961.0,83.282--115.758,20,4.17,3.57
psub,Larher,1968.0,72.21--91.04,18,3.30,2.89
psub,Leming,1970.0,66.59--114.914,86,5.42,4.70
psub,Lee,1972.0,94.4--115.77,165,5.25,3.93
psub,Chen,1978.0,103.719--115.727,41,4.30,3.72
psub,Staveley,1981.0,115.76,1,0.41,0.41
psub,Lide,2006.0,80--115.8,7,4.01,3.67
