Year	Author	Temperature	CellVolume
1972	Bronsveld	90.66	24.51926152
1972	Bronsveld	94.45	24.42684136
1973	Cheng	156.39	22.64
1973	Cheng	181.28	22.01
1973	Cheng	221.41	21.18
1973	Cheng	253.49	20.63
1968	Crawford	94.73	24.34
1968	Crawford	108.12	24.02
1968	Crawford	120.85	23.65
1968	Crawford	140.88	23.04
1968	Crawford	160.4	22.54
1968	Crawford	180.15	22.08
1968	Crawford	180.2	22.11
1968	Crawford	201.32	21.69
1976	Crawford	83.806	24.63
1976	Crawford	100	24.25
1976	Crawford	120	23.67
1976	Crawford	140	23.09
1976	Crawford	160	22.55
1976	Crawford	180	22.06
1976	Crawford	200	21.61
1976	Crawford	220	21.21
1976	Crawford	240	20.85
1976	Crawford	260	20.51
1976	Crawford	280	20.21
1976	Crawford	300	19.92
1976	Crawford	320	19.66
1977	Crawford	83.806	24.63
1977	Crawford	90	24.46
1977	Crawford	100	24.24
1977	Crawford	120	23.66
1977	Crawford	140	23.08
1977	Crawford	180	22.04
1977	Crawford	220	21.2
1977	Crawford	260	20.5
1962	Lahr	137	24.67
1962	Lahr	182	23.78
1962	Lahr	188	23.85
1962	Lahr	197	23.27
1962	Lahr	226	22.82
1962	Lahr	245	22.43
1962	Lahr	262	22.28
1962	Lahr	278	22.09
1962	Lahr	284	22.03
1962	Lahr	288	21.77
1962	Lahr	291	21.93
1962	Lahr	290	21.72
1962	Lahr	299	21.42
1962	Lahr	360	20.3
1974	Lewis	211.1	21.39
1974	Lewis	177.7	22.11
1974	Lewis	163.5	22.46
1974	Lewis	151.2	22.78
1974	Lewis	131.2	23.34
1974	Lewis	121.5	23.63
1974	Liebenberg	295.7	19.76
1977	Macrander	86.71	24.54230185
1977	Macrander	88.34	24.49825486
1977	Macrander	93.56	24.34014894
1977	Macrander	94.84	24.30571697
1977	Macrander	95.76	24.27626794
1977	Macrander	96.84	24.24256465
1977	Macrander	98.39	24.1986101
1977	Macrander	100.4	24.1375096
1977	Macrander	111.98	23.78256691
1977	Macrander	113.9	23.73139354
1977	Macrander	116.67	23.64872219
1977	Macrander	119.08	23.58028246
1977	Macrander	120.32	23.54434225
1977	Macrander	122.36	23.48421769
1977	Macrander	124.34	23.42720079
1970	Stishov	291.6	19.848
1970	Stishov	294.24	19.827
1970	Stishov	322	19.403
1971	Stishov	197.78	21.47
1971	Stishov	222.87	20.964
1971	Stishov	247.93	20.554
1971	Stishov	273.12	20.122
1971	Stishov	273	20.167
1971	Stishov	298	19.805
1971	Stishov	298.16	19.805
1971	Stishov	297.93	19.768
1971	Stishov	323.15	19.410
1972	Stishov	198.15	21.437
1972	Stishov	223.15	20.977
1972	Stishov	248.15	20.549
1972	Stishov	273.15	20.15
1972	Stishov	298.15	19.778
1972	Stishov	323.15	19.428
1972	Stishov	348.15	19.091
1968	Witzenburg	96.41	24.36
1968	Witzenburg	101.11	24.18
1968	Witzenburg	105.81	24.04
1968	Witzenburg	110.55	23.88
1968	Witzenburg	115.3	23.75
1968	Witzenburg	120.08	23.62
