Year	Author	Temperature	CellVolume
1955	Barker	0	23.82110912
1955	Barker	30	24.00721154
1955	Barker	60	24.41809291
1955	Barker	70	24.58338462
1955	Barker	80	24.78163772
1955	Barker	83.806	24.858743
1964	Barrett	4.2	22.56399527
1964	Barrett	15	22.56399527
1964	Barrett	21	22.64693073
1964	Barrett	21	22.65715219
1964	Barrett	25	22.70190726
1964	Barrett	28	22.76209957
1964	Barrett	35	22.89438228
1964	Barrett	50	23.3151372
1964	Barrett	61	23.64096518
1964	Barrett	63	23.71729422
1964	Barrett	63.7	23.72915309
1964	Barrett	64	23.74628954
1964	Barrett	64	23.75420145
1964	Barrett	81	24.47887475
1961	Beaumont	20	22.59502262
1961	Beaumont	25	22.67196368
1961	Beaumont	30	22.76239316
1961	Beaumont	40	23.01152074
1961	Beaumont	50	23.29329446
1961	Beaumont	0	22.49324324
1961	Beaumont	5	22.49324324
1961	Beaumont	10	22.50591549
1961	Beaumont	15	22.53130288
1964	Bolz	4.027	22.57929117
1964	Bolz	19.329	22.63032741
1964	Bolz	41.342	23.06724398
1964	Bolz	70.872	24.09075335
1964	Bolz	71.678	24.1307122
1964	Bolz	57.181	23.62782157
1964	Bolz	62.55	23.83870457
1964	Bolz	63.893	23.91810804
1978	Chen	74	24.15
1978	Chen	74.5	24.17
1978	Chen	75	24.2
1978	Chen	75.5	24.22
1978	Chen	76	24.24
1978	Chen	76.5	24.26
1978	Chen	77	24.29
1978	Chen	77.5	24.31
1978	Chen	78	24.33
1978	Chen	78.5	24.36
1978	Chen	79	24.38
1978	Chen	79.5	24.41
1978	Chen	80	24.43
1978	Chen	80.5	24.46
1978	Chen	81	24.48
1978	Chen	81.5	24.51
1978	Chen	82	24.53
1978	Chen	82.5	24.56
1978	Chen	83	24.59
1978	Chen	83.5	24.61
1978	Chen	83.806	24.63
1940	Clusius	83.806	24.61
1956	Dobbs	20	22.6462585
1956	Dobbs	40	22.99827288
1956	Dobbs	60	23.62389119
1956	Dobbs	80	24.41809291
1957	Dobbs	10	22.58
1957	Dobbs	20	22.64
1957	Dobbs	30	22.79
1957	Dobbs	40	23.01
1957	Dobbs	50	23.3
1957	Dobbs	60	23.65
1957	Dobbs	70	24
1957	Dobbs	80	24.42
1957	Dobbs	83.806	24.61
1961	Eatwell	20	22.6462585
1961	Eatwell	40	22.99827288
1961	Eatwell	60	23.62389119
1961	Eatwell	80	24.41809291
1958	Henshaw	4.2	21.8603407
1925	Keesom	20	23.77857143
1966	Peterson	4	22.5567476
1966	Peterson	6	22.5567476
1966	Peterson	8	22.55929523
1966	Peterson	10	22.56311776
1966	Peterson	12	22.57204204
1966	Peterson	15	22.58991178
1966	Peterson	20	22.64497477
1966	Peterson	25	22.71450503
1966	Peterson	30	22.80397306
1966	Peterson	35	22.90990423
1966	Peterson	40	23.02611102
1966	Peterson	45	23.15557617
1966	Peterson	50	23.2960112
1966	Peterson	55	23.4477901
1966	Peterson	60	23.61132455
1966	Peterson	65	23.7884833
1966	Peterson	70	23.98270997
1966	Peterson	75	24.19771034
1966	Peterson	80	24.43452199
1966	Peterson	83	24.58792392
1980	Schwalbe	70.001	23.98507579
1980	Schwalbe	70.014	23.98494305
1980	Schwalbe	72.009	24.06759744
1980	Schwalbe	74.02	24.15417528
1980	Schwalbe	76.007	24.24296569
1980	Schwalbe	77.032	24.28924935
1980	Schwalbe	78.006	24.33626199
1980	Schwalbe	78.998	24.38427467
1980	Schwalbe	79.061	24.38736144
1980	Schwalbe	80	24.43436617
1980	Schwalbe	80.999	24.48344969
1980	Schwalbe	81.992	24.53435063
1980	Schwalbe	83	24.58829083
1924	Simon	40	23.97114152
1961	Smith	77.193	24.34369287
1961	Smith	78.07	24.37339841
1961	Smith	78.947	24.41809291
1961	Smith	80.088	24.44798042
1961	Smith	80.965	24.49294911
1961	Smith	82.018	24.53808354
1961	Smith	83.246	24.58338462
1967	Smith	77.25	24.28302231
1967	Smith	77.4	24.29631432
1967	Smith	77.45	24.33034899
1967	Smith	77.45	24.30222655
1967	Smith	78.8	24.39423547
1967	Smith	81.7	24.53205601
2024	This_work	7.9556	22.54
2024	This_work	9.9125	22.55
2024	This_work	12.0296	22.55
2024	This_work	14.0085	22.57
2024	This_work	15.9675	22.58
2024	This_work	17.9642	22.61
2024	This_work	20.016	22.63
2024	This_work	22.0107	22.66
2024	This_work	24.0073	22.68
2024	This_work	26.0035	22.72
2024	This_work	28.0044	22.75
2024	This_work	30.009	22.78
2024	This_work	32.0032	22.82
2024	This_work	34.0088	22.87
2024	This_work	36.007	22.91
2024	This_work	38.0067	22.95
2024	This_work	40.0099	22.99
2024	This_work	42.0109	23.04
2024	This_work	44.0117	23.09
2024	This_work	46.0124	23.14
2024	This_work	48.0141	23.19
2024	This_work	50.0157	23.25
1967	Urvas	4.25	22.55584029
